,origin.tree$tip.label
253,Viola_pedatifida_subsp._brittoniana
254,Viola_cucullata
255,Viola_macloskeyi
256,Viola_lanceolata
257,Viola_macloskeyi_var._pallens
258,Viola_blanda
259,Viola_primulifolia
260,Viola_vaginata
261,Viola_sagittata
262,Viola_pedata
263,Viola_principis
264,Viola_diffusa
265,Hypericum_fauriei
266,Hypericum_boreale
267,Hypericum_japonicum
268,Hypericum_mutilum
269,Hypericum_gentianoides
270,Hypericum_canadense
271,Hypericum_buckleyi
272,Hypericum_tetrapetalum
273,Hypericum_ellipticum
274,Hypericum_brachyphyllum
275,Hypericum_fasciculatum
276,Hypericum_ascyron
277,Hypericum_monogynum
278,Hypericum_patulum
279,Hypericum_attenuatum
280,Hypericum_punctatum
281,Hypericum_seniawinii
282,Hypericum_erectum
283,Hypericum_perforatum
284,Hypericum_hypericoides
285,Hypericum_stragulum
286,Hypericum_sampsonii
287,Triadenum_breviflorum
288,Triadenum_sp.
289,Hypericum_walteri
290,Triadenum_virginicum
291,Triadenum_fraseri
292,Hypericum_densiflorum
293,Hypericum_crux-andreae
294,Licania_michauxii
295,Oxalis_debilis
296,Oxalis_violacea
297,Oxalis_griffithii
298,Oxalis_grandis
299,Oxalis_montana
300,Oxalis_acetosella_subsp._japonica
301,Oxalis_acetosella
302,Oxalis_dillenii
303,Oxalis_stricta
304,Oxalis_corniculata
305,Oxalis_rubra
306,Sloanea_sinensis
307,Elaeocarpus_glabripetalus
308,Elaeocarpus_decipiens
309,Elaeocarpus_japonicus
310,Elaeocarpus_chinensis
311,Celastrus_hypoleucoides
312,Celastrus_angulatus
313,Celastrus_hypoleucus
314,Celastrus_flagellaris
315,Celastrus_hindsii
316,Celastrus_gemmatus
317,Celastrus_orbiculatus
318,Celastrus_stylosus
319,Celastrus_oblanceifolius
320,Celastrus_aculeatus
321,Celastrus_rugosus
322,Celastrus_glaucophyllus
323,Celastrus_rosthornianus
324,Celastrus_vaniotii
325,Celastrus_scandens
326,Tripterygium_wilfordii
327,Tripterygium_hypoglaucum
328,Euonymus_nitidus
329,Euonymus_centidens
330,Euonymus_hamiltonianus
331,Euonymus_maackii
332,Euonymus_alatus
333,Euonymus_phellomanus
334,Euonymus_fortunei
335,Euonymus_carnosus
336,Euonymus_grandiflorus
337,Euonymus_verrucosus
338,Euonymus_myrianthus
339,Euonymus_semenovii
340,Euonymus_americanus
341,Euonymus_bockii
342,Euonymus_kiautschovicus
343,Euonymus_acanthocarpus
344,Euonymus_subsessilis
345,Euonymus_macropterus
346,Euonymus_oxyphyllus
347,Euonymus_sanguineus
348,Euonymus_euscaphis
349,Euonymus_hupehensis
350,Parnassia_foliosa
351,Parnassia_wightiana
352,Parnassia_delavayi
353,Parnassia_palustris
354,Parnassia_asarifolia
355,Parnassia_oreophila
356,Microtropis_fokienensis
357,Hemsleya_graciliflora
358,Hemsleya_chinensis
359,Gynostemma_pentaphyllum
360,Actinostemma_tenerum
361,Bolbostemma_paniculatum
362,Benincasa_hispida
363,Lagenaria_siceraria
364,Cucumis_anguria
365,Neoachmandra_japonica
366,Melothria_pendula
367,Cucurbita_moschata
368,Schizopepon_dioicus
369,Trichosanthes_cucumeroides
370,Trichosanthes_rosthornii
371,Trichosanthes_kirilowii
372,Luffa_aegyptiaca
373,Thladiantha_oliveri
374,Thladiantha_dubia
375,Thladiantha_henryi
376,Thladiantha_nudiflora
377,Thladiantha_hookeri
378,Begonia_grandis
379,Begonia_grandis_subsp._evansiana
380,Begonia_grandis_subsp._sinensis
381,Begonia_henryi
382,Begonia_pedatifida
383,Begonia_cubensis
384,Coriaria_nepalensis
385,Fagus_longipetiolata
386,Fagus_engleriana
387,Fagus_lucida
388,Fagus_sylvatica
389,Fagus_grandifolia
390,Lithocarpus_chrysocomus
391,Lithocarpus_brevicaudatus
392,Lithocarpus_paniculatus
393,Lithocarpus_eriobotryoides
394,Lithocarpus_glaber
395,Lithocarpus_henryi
396,Lithocarpus_hancei
397,Lithocarpus_cleistocarpus
398,Castanea_seguinii
399,Castanea_henryi
400,Castanea_pumila
401,Castanea_mollissima
402,Castanea_dentata
403,Castanopsis_tibetana
404,Castanopsis_fordii
405,Castanopsis_fargesii
406,Castanopsis_carlesii
407,Castanopsis_eyrei
408,Castanopsis_sclerophylla
409,Quercus_ilicifolia
410,Quercus_falcata
411,Quercus_imbricaria
412,Quercus_serrata
413,Quercus_acrodonta
414,Quercus_jenseniana
415,Quercus_prinus
416,Quercus_mongolica
417,Quercus_aliena
418,Quercus_multinervis
419,Quercus_stewardiana
420,Quercus_sessilifolia
421,Quercus_oxyodon
422,Quercus_ciliaris
423,Quercus_myrsinifolia
424,Quercus_glauca
425,Quercus_dolicholepis
426,Quercus_margarettae
427,Quercus_wutaishanica
428,Quercus_dentata
429,Quercus_fabri
430,Quercus_geminata
431,Quercus_lobata
432,Quercus_stellata
433,Quercus_montana
434,Quercus_michauxii
435,Quercus_alba
436,Quercus_chapmanii
437,Quercus_virginiana
438,Quercus_phillyraeoides
439,Quercus_variabilis
440,Quercus_acutissima
441,Quercus_spinosa
442,Quercus_incana
443,Quercus_phellos
444,Quercus_laurifolia
445,Quercus_velutina
446,Quercus_rubra_var._borealis
447,Quercus_rubra
448,Quercus_coccinea
449,Quercus_nigra
450,Quercus_hemisphaerica
451,Quercus_laevis
452,Quercus_pumila
453,Quercus_myrtifolia
454,Quercus_marilandica
455,Juglans_mandshurica
456,Juglans_cinerea
457,Juglans_cathayensis
458,Juglans_regia
459,Juglans_nigra
460,Cyclocarya_paliurus
461,Pterocarya_hupehensis
462,Pterocarya_macroptera
463,Pterocarya_macroptera_var._insignis
464,Pterocarya_stenoptera
465,Carya_tomentosa
466,Carya_pallida
467,Carya_cathayensis
468,Carya_illinoensis
469,Carya_ovata
470,Carya_cordiformis
471,Carya_ovalis
472,Carya_glabra
473,Platycarya_strobilacea
474,Morella_carolinensis
475,Morella_pumila
476,Morella_cerifera
477,Morella_rubra
478,Comptonia_peregrina
479,Myrica_gale
480,Alnus_serrulata
481,Alnus_viridis
482,Alnus_mandshurica
483,Alnus_japonica
484,Alnus_incana
485,Alnus_hirsuta
486,Betula_chinensis
487,Betula_ovalifolia
488,Betula_utilis_subsp._albosinensis
489,Betula_luminifera
490,Betula_nigra
491,Betula_lenta
492,Betula_papyrifera
493,Betula_alleghaniensis
494,Betula_utilis
495,Betula_schmidtii
496,Betula_fruticosa
497,Betula_costata
498,Betula_davurica
499,Betula_ermanii
500,Betula_platyphylla
501,Betula_austrosinensis
502,Betula_populifolia
503,Corylus_heterophylla_var._sutchuenensis
504,Corylus_ferox_var._thibetica
505,Corylus_mandshurica
506,Corylus_chinensis
507,Corylus_americana
508,Corylus_cornuta
509,Corylus_heterophylla
510,Ostrya_virginiana
511,Ostrya_rehderiana
512,Carpinus_caroliniana
513,Carpinus_tschonoskii
514,Carpinus_londoniana
515,Carpinus_viminea
516,Carpinus_turczaninovii
517,Carpinus_polyneura
518,Carpinus_pubescens
519,Carpinus_hupeana
520,Carpinus_fargesiana
521,Carpinus_cordata
522,Ostryopsis_davidiana
523,Potentilla_multifida
524,Potentilla_parvifolia
525,Potentilla_norvegica
526,Potentilla_nivea
527,Potentilla_tanacetifolia
528,Potentilla_recta
529,Potentilla_cryptotaeniae
530,Potentilla_kleiniana
531,Potentilla_verticillaris
532,Potentilla_multicaulis
533,Potentilla_discolor
534,Potentilla_longifolia
535,Potentilla_freyniana
536,Potentilla_flagellaris
537,Potentilla_canadensis
538,Potentilla_simplex
539,Potentilla_centigrana
540,Potentilla_sterilis
541,Potentilla_anserina
542,Potentilla_glabra
543,Potentilla_supina_subsp._paradoxa
544,Potentilla_supina_subsp._supina
545,Potentilla_ancistrifolia
546,Potentilla_simulatrix
547,Potentilla_reptans
548,Potentilla_argentea
549,Potentilla_fragarioides
550,Potentilla_chinensis
551,Potentilla_indica_var._indica
552,Duchesnea_indica
553,Duchesnea_chrysantha
554,Comarum_palustre
555,Potentilla_tridentata
556,Sibbaldia_procumbens
557,Fragaria_orientalis
558,Fragaria_virginiana
559,Chamaerhodos_canescens
560,Chamaerhodos_erecta
561,Dasiphora_fruticosa
562,Sanguisorba_officinalis
563,Sanguisorba_tenuifolia
564,Sanguisorba_sitchensis
565,Sanguisorba_obtusa
566,Sanguisorba_parviflora
567,Sanguisorba_applanata
568,Sanguisorba_officinalis_var._longifolia
569,Agrimonia_gryposepala
570,Agrimonia_parviflora
571,Agrimonia_rostellata
572,Agrimonia_microcarpa
573,Agrimonia_coreana
574,Agrimonia_pilosa
575,Rosa_bracteata
576,Rosa_sertata
577,Rosa_maximowicziana
578,Rosa_dahurica
579,Rosa_koreana
580,Rosa_carolina
581,Rosa_davurica
582,Rosa_bella
583,Rosa_palustris
584,Rosa_henryi
585,Rosa_multiflora
586,Rosa_helenae
587,Rosa_roxburghii
588,Rosa_caudata
589,Rosa_acicularis
590,Rosa_laevigata
591,Rosa_cymosa
592,Rosa_banksiae
593,Rosa_multiflora_var._cathayensis
594,Rosa_rubus
595,Rubus_pensilvanicus
596,Rubus_pubescens
597,Rubus_canadensis
598,Dalibarda_repens
599,Rubus_buergeri
600,Rubus_hispidus
601,Rubus_sachalinensis
602,Rubus_hunanensis
603,Rubus_trivialis
604,Rubus_setosus
605,Rubus_argutus
606,Rubus_amabilis
607,Rubus_chingii
608,Rubus_parkeri
609,Rubus_kulinganus
610,Rubus_flosculosus
611,Rubus_adenophorus
612,Rubus_pungens_var._oldhamii
613,Rubus_tsangiorum
614,Rubus_playfairianus
615,Rubus_inopertus
616,Rubus_peltatus
617,Rubus_henryi
618,Rubus_xanthoneurus
619,Rubus_lambertianus_var._glaber
620,Rubus_pacificus
621,Rubus_pileatus
622,Rubus_sumatranus
623,Rubus_innominatus_var._kuntzeanus
624,Rubus_impressinervius
625,Rubus_occidentalis
626,Rubus_pungens
627,Rubus_saxatilis
628,Rubus_setchuenensis
629,Rubus_amphidasys
630,Rubus_swinhoei
631,Rubus_lambertianus
632,Rubus_reflexus
633,Rubus_irenaeus
634,Rubus_pectinellus
635,Rubus_tephrodes
636,Rubus_ichangensis
