Acer_acuminatum,Acer_cordatum
Crotalaria_yunnanensis,Crotalaria_pallida_var._obovata
Croton_glandulosus,Croton_glandulosus_var._glandulosus
Croton_zambesicus,Croton_sp.
Cyclea_wattii,Cyclea_racemosa
Cynoglossum_yemenense,Cynoglossum_virginianum
Cyperus_volodia,Cyperus_sp.
Cypripedium_wenqingiae,Cypripedium_calceolus_var._pubescens
Dalea_wrightii,Dalea_pinnata_var._pinnata
Danthonia_vickeryae,Danthonia_sericea
Digitalis_trojana,Digitalis_sp.
Elaeagnus_tonkinensis,Elaeagnus_glabra
Elaeagnus_xingwenensis,Elaeagnus_umbellata
Elatostema_yuennanense,Elatostema_parvum
Elatostema_zhenyuanense,Elatostema_cuspidatum
Eleocharis_wilkensii,Eleocharis_tetraquetra
Eleocharis_wrightiana,Eleocharis_tenuis
Eleocharis_yunnanensis,Eleocharis_flavescens_var_olivacea
Elsholtzia_winitiana,Elsholtzia_splendens
Epilobium_wilsonii,Epilobium_sp.
Eremogone_ursina,Eremogone_capillaris
Eupatorium_rotundifolium,Eupatorium_rotundifolium_var._rotundifolium
Eupatorium_tweedianum,Eupatorium_mohrii
Eupatorium_vernosissimum,Eupatorium_fistulosum
Euphorbia_corollata,Euphorbia_corollata_var._corollata
Euphorbia_zeylana,Euphorbia_pubentissima
Fagopyrum_urophyllum,Fagopyrum_tataricum
Festuca_xprolifera,Festuca_sp.
Festuca_yulungschanica,Festuca_octiflora
Festuca_zobelii,Festuca_arundinacea
Ficus_yoponensis,Ficus_sarmentosa_var._nipponica
Ficus_zarzalensis,Ficus_sarmentosa_var._impressa
Ficus_zuliensis,Ficus_sarmentosa_var._henryi
Fraxinus_verticillata,Fraxinus_chinensis
Fraxinus_zanthoxyloides,Fraxinus_americana
Galium_watsonii,Galium_spurium
Gamblea_innovans,Gamblea_ciliata
Gentiana_yokusaei,Gentiana_triflora
Gentiana_zhenxiongensis,Gentiana_rubicunda
Geranium_zermattense,Geranium_koraiense
Girardinia_diversifolia_subsp._diversifolia,Girardinia_diversifolia
Gymnadenia_conopsea_subsp._conopsea,Gymnadenia_conopsea
Hedera_aesculifolia,Hedera_sinensis
Hieracium_zonulatum,Hieracium_sp.
Holboellia_angustifolia_subsp._angustifolia,Holboellia_angustifolia
Ilex_zippeliana,Ilex_cassine
Impatiens_zippelii,Impatiens_stenosepala
Impatiens_zixishanensis,Impatiens_noli-tangere
Indigofera_zornioides,Indigofera_nigrescens
Iris_zenaidae,Iris_sp.
Ixeridium_transnokoense,Ixeridium_dentatum
Ixeris_tamagawaensis,Ixeris_debilis
Jacobaea_vestita,Jacobaea_cannabifolia
Juncus_zeylanicus,Juncus_validus
Juniperus_wittmanniana,Juniperus_virginiana_var._silicola
Lactuca_watsoniana,Lactuca_sp.
Lactuca_zambesiaca,Lactuca_triangulata
Lagopsis_darwiniana,Lagopsis_supina
Larix_occidentalis,Larix_sp.
Larix_rossica,Larix_gmelinii_var._olgensis
Larix_sukaczewii,Larix_gmelinii_var._principis-rupprechtii
Lechea_tripetala,Lechea_mucronata
Ledum_angustifolium,Ledum_palustre_subsp._groenlandicum
Leonurus_wutaishanicus,Leonurus_macranthus
Ligularia_yunnanensis,Ligularia_mongolica
Linaria_zelliceriana,Linaria_canadensis
Linum_westii,Linum_medium_var._texanum
Lomatogonium_zhongdianense,Lomatogonium_rotatum
Lupinus_yarushensis,Lupinus_sp.
Luzula_acuminata,Luzula_acuminata_subsp._carolinae
Lychnis_terminalis,Lychnis_coronata
Lycopus_laurentianus,Lycopus_lucidus_var._hirtus
Lycopus_sherardii,Lycopus_lucidus_var._maackianus
Lycoris_uydoensis,Lycoris_aurea
Lysimachia_violascens,Lysimachia_terrestris
Lysimachia_wilsonii,Lysimachia_borealis
Magnolia_xinganensis,Magnolia_virginiana
Magnolia_yarumalensis,Magnolia_officinalis
Magnolia_yoroconte,Magnolia_fraseri
Magnolia_zoquepopolucae,Magnolia_denudata
Malus_zumi,Malus_soulardii
Melilotus_altissimus,Melilotus_officinalis_subsp._alba
Micranthes_davurica_var._grandipetala,Micranthes_davurica
Mimosa_mahilakensis,Mimosa_quadrivalvis_var._angustata
Mimosa_quadrivalvis_var._quadrivalvis,Mimosa_quadrivalvis
Minuartia_zarecznyi,Minuartia_rupestris
Morella_spathulata,Morella_cerifera
Muhlenbergia_xanthodas,Muhlenbergia_frondosa
Nabalus_alatus,Nabalus_trifoliolatus
Neolitsea_variabillima,Neolitsea_aurata_var._paraciculata
Neolitsea_zeylanica,Neolitsea_aurata_var._chekiangensis
Ocimum_albostellatum,Ocimum_x_africanum
Oclemena_reticulata,Oclemena_nemoralis
Orobanche_abyssinica,Orobanche_uniflora
Oxalis_yungasensis,Oxalis_griffithii
Oxalis_zeyheri,Oxalis_acetosella
Pachysandra_procumbens,Pachysandra_sp.
Panicum_trinapalium,Panicum_dichotomum
Panicum_zambesiense,Panicum_dichotomum
Panicum_zeylayense,Panicum_depauperatum
Parasenecio_tanake,Parasenecio_rubescens
Pedicularis_rubens,Pedicularis_sceptrum-carolinum
Peracarpa_carnosa_var._circaeoides,Peracarpa_carnosa
Persicaria_senegalensis,Persicaria_viscosa
Persicaria_wugongshanensis,Persicaria_sagittata
Pertya_discclor,Pertya_sinensis
Peucedanum_zenkeri,Peucedanum_harry-smithii
Phlomoides_zenaidae,Phlomoides_umbrosa
Phlox_vermejoensis,Phlox_pilosa
Phlox_viscida,Phlox_nivalis
Phlox_woodhousii,Phlox_caroliniana
Phyllostachys_sulphurea_var._viridis,Phyllostachys_sulphurea
Physaliastrum_chamaesarachoides,Physaliastrum_japonicum
Physalis_turbinatoides,Physalis_sp.
Physalis_volubilis,Physalis_angulata
Physalis_waterfallii,Physalis_alkekengi_var._franchetii
Pilea_yarensis,Pilea_cavaleriei
Pilea_zaranensis,Pilea_angulata
Pinus_zitacuaria,Pinus_henryi
Pityopsis_pinifolia,Pityopsis_graminifolia_var._latifolia
Plantago_wrightiana,Plantago_depressa
Platanthera_flava,Platanthera_flava_var._herbiola
Platanthera_orbiculata,Platanthera_orbiculata_var._macrophylla
Pleione_yunnanensis,Pleione_bulbocodioides
Pluchea_yucatanensis,Pluchea_baccharis
Poa_wisselii,Poa_urssulensis
Poa_yaganica,Poa_sibirica
Poa_zhongdianensis,Poa_annua
Polanisia_dodecandra,Polanisia_tenuifolia
Polygala_zambesiaca,Polygala_curtisii
Polygonum_unifolium,Polygonum_tenue
Polygonum_wallichii,Polygonum_muricatum
Populus_wulianensis,Populus_x_jackii
Populus_xiaozhuanica,Populus_x_canadensis
Populus_yunnanensis,Populus_sp.
Potentilla_webberi,Potentilla_parvifolia
Potentilla_wenchuensis,Potentilla_reptans
Potentilla_wilderae,Potentilla_multifida
Potentilla_wrangelii,Potentilla_fragarioides
Potentilla_yokusniana,Potentilla_chinensis
Potentilla_zhangbeiensis,Potentilla_argentea
Pouzolzia_weddellii,Pouzolzia_zeylanica
Premna_odorata,Premna_microphylla
Prenanthes_sarmentosa,Prenanthes_sp.
Primula_zeylanica,Primula_sieboldii
Prosartes_lanuginosa,Prosartes_sp.
Prunus_yuyamae,Prunus_sp.
Prunus_zingii,Prunus_leveilleana
Prunus_zippeliana,Prunus_cerasoides_var._campanulata
Psoralea_aculeata,Psoralea_onobrychis
Pterocarya_tonkinensis,Pterocarya_macroptera_var._insignis
Pyracantha_stoloniformis,Pyracantha_crenulata
Pyrola_xinjiangensis,Pyrola_sp.
Quercus_yiwuensis,Quercus_serrata
Quercus_yousei,Quercus_mongolica
Quercus_yunnanensis,Quercus_margarettae
Quercus_zan,Quercus_aliena
Reynoutria_mizushimae,Reynoutria_ciliinervis
Rhododendron_zoelleri,Rhododendron_micranthum
Rhododendron_zollingeri,Rhododendron_sp.
Rhynchosia_yunnanensis,Rhynchosia_tomentosa_var._mollissima
Rhynchospora_wightiana,Rhynchospora_grayi
Rhynchospora_zeylanica,Rhynchospora_globularis
Ribes_vulgare,Ribes_moupinense
Ribes_xizangense,Ribes_komarovii
Rosa_zhongdianensis,Rosa_multiflora_var._cathayensis
Rubus_yenosimanus,Rubus_pungens_var._oldhamii
Rubus_yoshinoi,Rubus_lambertianus_var._glaber
Rubus_zhaogoshanensis,Rubus_inopertus
Rubus_zwanzigeri,Rubus_innominatus_var._kuntzeanus
Rudbeckia_alpicola,Rudbeckia_hirta
Rudbeckia_scabrifolia,Rudbeckia_laciniata
