"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"CN",1382,30900.9288579963,32113.0317662494,384.157447571844,1,-3.15522428606933,0.001,999
"US",460,15612.0981775869,16629.9954757957,475.517204436158,13,-2.14061087319795,0.013,999
