"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"CN",2284,39133.1593017122,40550.1570692274,438.80985588654,1,-3.22918400420236,0.001,999
"US",1390,27570.0483105435,29646.0591163253,480.675697307,1,-4.31894272461174,0.001,999
