"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"CN",2284,21.8079896747298,22.5513481013768,0.410916238458661,44,-1.80902665087005,0.044,999,1.80902665087005
"US",1390,24.1943532474004,26.8053823041746,0.739087277687212,1,-3.53277499911069,0.001,999,3.53277499911069
