"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"CN",3403,62065.2988460138,63702.0415864745,549.361821650458,3,-2.9793529072395,0.003,999
"US",1722,37117.186730573,41458.1217280963,632.161984591814,1,-6.86680803864882,0.001,999
