,ntaxa,pd.obs,pd.rand.mean,pd.rand.sd,pd.obs.rank,pd.obs.z,pd.obs.p,runs
Woody,1795,37722.69025,43464.5487,651.0833615,1,-8.818929778,0.001,999
Herb,3511,53576.50042,66183.06442,585.3351683,1,-21.53734251,0.001,999
