"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"CN",263,267.951222857588,283.725299753489,5.5822547167694,6,-2.82575369563746,0.006,999,2.82575369563746
"US",128,309.256089174577,283.495324108612,11.8887262893925,983,2.16682295806145,0.983,999,-2.16682295806145
