,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,NRI
dis,383,283.6273921,257.1189281,4.295938137,1000,6.170587918,1,999,-6.170587918
non_dis,4923,253.6556052,256.9800244,0.334098163,1,-9.950426605,0.001,999,9.950426605
