"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"CN",263,7633.36043984397,7862.25219582779,203.817922993253,139,-1.12302074627361,0.139,999
"US",128,6020.02337108806,5534.73094514138,247.705747280806,972,1.95914883394506,0.972,999
