"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"CN",3403,254.958351537541,253.67095214102,0.800149726165272,947,1.60894811861154,0.947,999,-1.60894811861154
"US",1722,250.304043158481,253.647059002323,1.6457958791222,22,-2.03124572509241,0.022,999,2.03124572509241
