"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"CN",3666,66219.7744521598,68083.2937415122,603.918712783711,6,-3.08571211639168,0.006,999
"US",1850,40589.1885444134,44222.5246360634,678.452242832433,1,-5.35533065154507,0.001,999
