,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,NRI
Woody,1795,271.5875389,257.0156374,1.865635971,1000,7.81068855,1,999,-7.81068855
Herb,3511,242.6295379,256.9767132,0.953455519,1,-15.04755598,0.001,999,15.04755598
