,ntaxa,pd.obs,pd.rand.mean,pd.rand.sd,pd.obs.rank,pd.obs.z,pd.obs.p,runs
dis,383,9442.736963,16699.88952,489.6982572,1,-14.81964139,0.001,999
non_dis,4923,80939.117,82231.72076,307.6105328,1,-4.202079004,0.001,999
