"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Woody",189,285.828494684846,252.156084239095,6.01999071768844,1000,5.59343228666642,1,999,-5.59343228666642
"Herb",560,233.920009012712,251.881544051072,2.03019719539447,1,-8.84718739593698,0.001,999,8.84718739593698
