"","Acalypha_gracilens","Acer_rubrum","Acmella_oppositifolia","Acmella_repens","Aeschynomene_americana","Aeschynomene_viscidula","Agalinis_fasciculata","Agalinis_filifolia","Agalinis_plukenetii","Agalinis_setacea","Ageratina_jucunda","Agrostis_hyemalis","Albizia_julibrissin","Alysicarpus_ovalifolius","Ambrosia_artemisiifolia","Amorpha_fruticosa","Amorpha_herbacea","Amphicarpum_muhlenbergianum","Amsonia_ciliata","Andropogon_brachystachyus","Andropogon_floridanus","Andropogon_glomeratus","Andropogon_gyrans","Andropogon_longiberbis","Andropogon_ternarius","Andropogon_tracyi","Andropogon_virginicus","Anthaenantia_villosa","Apios_americana","Aralia_spinosa","Ardisia_crenata","Arenaria_serpyllifolia","Aristida_condensata","Aristida_gyrans","Aristida_mohrii","Aristida_purpurascens","Aristida_spiciformis","Aristida_stricta","Aristolochia_serpentaria","Arnoglossum_floridanum","Aronia_arbutifolia","Asclepias_amplexicaulis","Asclepias_cinerea","Asclepias_humistrata","Asclepias_tomentosa","Asclepias_tuberosa","Asclepias_verticillata","Asemeia_violacea","Asimina_angustifolia","Asimina_incana","Asimina_longifolia","Asimina_parviflora","Asimina_pygmaea","Astragalus_obcordatus","Avena_sativa","Axonopus_fissifolius","Axonopus_furcatus","Baccharis_halimifolia","Balduina_angustifolia","Bambusa_multiplex","Bejaria_racemosa","Berlandiera_subacaulis","Bidens_alba","Bidens_mitis","Bidens_pilosa","Bignonia_capreolata","Boehmeria_cylindrica","Boerhavia_diffusa","Boltonia_diffusa","Bothriochloa_ischaemum","Bothriochloa_pertusa","Brasenia_schreberi","Bromus_catharticus","Buchnera_americana","Bulbostylis_barbata","Bulbostylis_ciliatifolia","Bulbostylis_ciliatifolia_var._coarctata","Bulbostylis_stenophylla","Bulbostylis_warei","Butia_capitata","Buxus_microphylla","Callicarpa_americana","Callisia_graminea","Calyptocarpus_vialis","Camellia_oleifera","Camellia_sasanqua","Campsis_radicans","Cardamine_hirsuta","Carex_atlantica","Carex_atlantica_subsp._capillacea","Carex_dasycarpa","Carex_elliottii","Carex_fissa","Carex_fissa_var._aristata","Carex_floridana","Carex_longii","Carphephorus_corymbosus","Cartrema_americana","Carya_glabra","Carya_illinoiensis","Carya_illinoinensis","Castanea_mollissima","Castanea_pumila","Ceanothus_microphyllus","Cenchrus_gracillimus","Cenchrus_purpureus","Cenchrus_spinifex","Centella_asiatica","Centrosema_virginianum","Cephalanthus_occidentalis","Cerastium_glomeratum","Ceratiola_ericoides","Cestrum_nocturnum","Chamaecrista_fasciculata","Chamaecrista_nictitans","Chamaecrista_nictitans_var._aspera","Chamaesyce_cowellii","Chapmannia_floridana","Chasmanthium_laxum","Chasmanthium_laxum_subsp._sessiliflorum","Chionanthus_virginicus","Chrysopsis_gossypina","Chrysopsis_mariana","Chrysopsis_scabrella","Cinnamomum_camphora","Cirsium_horridulum","Cirsium_nuttallii","Citrus_aurantium","Cladium_jamaicense","Clematis_reticulata","Clitoria_mariana","Cnidoscolus_urens","Cnidoscolus_urens_var._stimulosus","Coelorachis_tuberculosa","Coleataenia_anceps","Commelina_diffusa","Commelina_erecta","Coreopsis_tinctoria","Cornus_florida","Cortaderia_selloana","Corydalis_micrantha","Corydalis_micrantha_subsp._australis","Crataegus_flava","Crataegus_integra","Crataegus_michauxii","Crataegus_uniflora","Crinum_moorei","Crocanthemum_carolinianum","Crocanthemum_corymbosum","Croptilon_divaricatum","Crotalaria_lanceolata","Crotalaria_pallida","Crotalaria_rotundifolia","Crotalaria_spectabilis","Croton_argyranthemus","Croton_glandulosus","Croton_michauxii","Ctenium_floridanum","Cucumis_anguria","Cupressus_leylandii","Cuscuta_pentagona","Cycas_revoluta","Cyclospermum_leptophyllum","Cymbopogon_citratus","Cynodon_dactylon","Cyperus_blepharoleptos","Cyperus_compressus","Cyperus_croceus","Cyperus_erythrorhizos","Cyperus_filiculmis","Cyperus_haspan","Cyperus_lecontei","Cyperus_odoratus","Cyperus_papyrus","Cyperus_plukenetii","Cyperus_polystachyos","Cyperus_retrorsus","Cyperus_surinamensis","Cyperus_tetragonus","Cyperus_virens","Cyrilla_racemiflora","Dactyloctenium_aegyptium","Dalea_feayi","Dalea_pinnata","Decodon_verticillatus","Descurainia_pinnata","Desmodium_ciliare","Desmodium_floridanum","Desmodium_incanum","Desmodium_strictum","Desmodium_tortuosum","Desmodium_triflorum","Desmodium_viridiflorum","Dichanthelium_aciculare","Dichanthelium_acuminatum","Dichanthelium_commutatum","Dichanthelium_dichotomum","Dichanthelium_ensifolium","Dichanthelium_laxiflorum","Dichanthelium_oligosanthes","Dichanthelium_strigosum","Dichanthelium_webberianum","Dichondra_carolinensis","Digitaria_bicornis","Digitaria_cognata","Digitaria_filiformis","Digitaria_longiflora","Digitaria_villosa","Diodella_teres","Diospyros_kaki","Diospyros_virginiana","Dolichandra_unguis.cati","Drosera_brevifolia","Drosera_capillaris","Drosera_intermedia","Drymaria_cordata","Dulichium_arundinaceum","Dyschoriste_oblongifolia","Dysphania_ambrosioides","Echinochloa_colona","Echinochloa_crus.galli","Echinochloa_walteri","Edrastima_uniflora","Eichhornia_crassipes","Eleocharis_baldwinii","Eleocharis_confervoides","Eleocharis_equisetoides","Eleocharis_vivipara","Elephantopus_elatus","Epidendrum_conopseum","Eragrostis_elliottii","Eragrostis_minor","Eragrostis_spectabilis","Erechtites_hieracifolia","Erechtites_hieraciifolius","Eremochloa_ophiuroides","Erigeron_canadensis","Erigeron_quercifolius","Erigeron_strigosus","Erigeron_vernus","Eriobotrya_japonica","Eriocaulon_compressum","Eriocaulon_lineare","Eriogonum_tomentosum","Eryngium_aromaticum","Eryngium_baldwinii","Eryngium_yuccifolium","Erythrina_herbacea","Eubotrys_racemosa","Eulophia_ecristata","Euonymus_americanus","Eupatorium_album","Eupatorium_capillifolium","Eupatorium_compositifolium","Eupatorium_leptophyllum","Eupatorium_mohrii","Euphorbia_heterophylla","Euphorbia_hirta","Euphorbia_hypericifolia","Euphorbia_hyssopifolia","Euphorbia_maculata","Euphorbia_prostrata","Eustachys_neglecta","Eustachys_petraea","Euthamia_caroliniana","Facelis_retusa","Fatoua_villosa","Festuca_arundinacea","Ficus_pumila","Fimbristylis_caroliniana","Fimbristylis_dichotoma","Froelichia_floridana","Fuirena_pumila","Fuirena_scirpoidea","Gaillardia_aestivalis","Galactia_elliottii","Galactia_erecta","Galactia_mollis","Galactia_regularis","Galium_bermudense","Galium_hispidulum","Galium_pilosum","Gamochaeta_antillana","Gamochaeta_longipedicellata","Gamochaeta_purpurea","Garberia_heterophylla","Gaylussacia_dumosa","Gaylussacia_nana","Gaylussacia_tomentosa","Gelsemium_sempervirens","Geranium_carolinianum","Gnaphalium_antillanum","Gomphrena_serrata","Gordonia_lasianthus","Gratiola_hispida","Gymnopogon_ambiguus","Habenaria_floribunda","Habenaria_repens","Hedera_helix","Helianthemum_carolinianum","Helianthemum_corymbosum","Helianthus_angustifolius","Helianthus_radula","Heliotropium_amplexicaule","Heterotheca_subaxillaris","Hieracium_gronovii","Hieracium_megacephalon","Hieracium_megacephalum","Houstonia_procumbens","Hydrilla_verticillata","Hydrocotyle_umbellata","Hydrocotyle_verticillata","Hypericum_brachyphyllum","Hypericum_crux.andreae","Hypericum_fasciculatum","Hypericum_gentianoides","Hypericum_hypericoides","Hypericum_mutilum","Hypericum_tetrapetalum","Hypochaeris_chillensis","Hyptis_mutabilis","Ilex_ambigua","Ilex_cassine","Ilex_coriacea","Ilex_cornuta","Ilex_glabra","Ilex_myrtifolia","Ilex_opaca","Ilex_vomitoria","Illicium_parviflorum","Imperata_cylindrica","Indigofera_caroliniana","Indigofera_hirsuta","Indigofera_spicata","Indigofera_suffruticosa","Ipomoea_cordatotriloba","Ipomoea_hederifolia","Ipomoea_quamoclit","Ipomoea_triloba","Itea_virginica","Jacquemontia_tamnifolia","Juncus_dichotomus","Juncus_effusus","Juncus_elliottii","Juncus_marginatus","Juncus_repens","Juncus_scirpoides","Juniperus_virginiana","Juniperus_virginiana_var._silicicola","Koelreuteria_elegans","Koelreuteria_elegans_subsp._formosana","Krameria_lanceolata","Krigia_virginica","Kummerowia_striata","Lachnanthes_caroliniana","Lachnocaulon_anceps","Lachnocaulon_engleri","Lachnocaulon_minus","Lactuca_graminifolia","Lagerstroemia_indica","Lantana_camara","Laurus_nobilis","Lechea_minor","Lechea_mucronata","Lechea_sessiliflora","Leersia_hexandra","Lemna_aequinoctialis","Lemna_valdiviana","Lepidium_virginicum","Lespedeza_hirta","Lespedeza_procumbens","Lespedeza_stuevei","Lespedeza_tomentosa","Liatris_gracilis","Liatris_pauciflora","Liatris_tenuifolia","Licania_michauxii","Limnobium_spongia","Linaria_canadensis","Linaria_floridana","Lindernia_crustacea","Lindernia_reptans","Liquidambar_styraciflua","Lobelia_glandulosa","Lobelia_paludosa","Lolium_multiflorum","Lonicera_japonica","Lonicera_sempervirens","Ludwigia_alternifolia","Ludwigia_arcuata","Ludwigia_leptocarpa","Ludwigia_palustris","Ludwigia_peruviana","Ludwigia_pilosa","Ludwigia_suffruticosa","Lupinus_diffusus","Lupinus_villosus","Lycopus_rubellus","Lygodesmia_aphylla","Lyonia_ferruginea","Lyonia_fruticosa","Lyonia_lucida","Lyonia_mariana","Magnolia_grandiflora","Magnolia_virginiana","Matelea_pubiflora","Mayaca_fluviatilis","Medicago_lupulina","Medicago_minima","Melia_azedarach","Melilotus_albus","Melinis_repens","Melothria_pendula","Merremia_dissecta","Mikania_scandens","Mimosa_quadrivalvis","Mitchella_repens","Mitracarpus_hirtus","Mollugo_verticillata","Monarda_punctata","Monotropa_hypopitys","Monotropa_uniflora","Morella_cerifera","Morus_rubra","Murdannia_nudiflora","Nuphar_advena","Nuttallanthus_canadensis","Nuttallanthus_floridanus","Nymphaea_odorata","Nymphoides_aquatica","Nyssa_biflora","Nyssa_sylvatica","Ocimum_gratissimum","Oenothera_biennis","Oenothera_laciniata","Oenothera_simulans","Oldenlandia_corymbosa","Oplismenus_burmanni","Oplismenus_compositus","Oplismenus_hirtellus","Opuntia_humifusa","Opuntia_mesacantha","Orbexilum_lupinellus","Orontium_aquaticum","Osmanthus_americana","Oxalis_corniculata","Oxalis_debilis","Palafoxia_integrifolia","Panicum_acuminatum","Panicum_anceps","Panicum_dichotomiflorum","Panicum_dichotomum","Panicum_ensifolium","Panicum_erectifolium","Panicum_hemitomon","Panicum_ovale","Panicum_portoricense","Panicum_repens","Panicum_verrucosum","Paronychia_americana","Paronychia_baldwinii","Paronychia_patula","Parthenocissus_quinquefolia","Paspalum_notatum","Paspalum_plicatulum","Paspalum_setaceum","Paspalum_urvillei","Passiflora_incarnata","Passiflora_vitifolia","Pectis_prostrata","Peltandra_virginica","Pennisetum_purpureum","Penstemon_multiflorus","Pentas_lanceolata","Persea_palustris","Persicaria_glabra","Persicaria_hirsuta","Persicaria_hydropiperoides","Phanopyrum_gymnocarpon","Phlox_drummondii","Phlox_floridana","Phlox_nivalis","Phlox_pilosa","Phoebanthus_grandiflorus","Phoradendron_leucarpum","Phyla_nodiflora","Phyllanthus_tenellus","Phyllanthus_urinaria","Phyllostachys_aurea","Physalis_arenicola","Physalis_virginiana","Phytolacca_americana","Pinus_clausa","Pinus_elliottii","Pinus_palustris","Pinus_taeda","Piper_auritum","Piptochaetium_avenaceum","Piriqueta_cistoides","Piriqueta_cistoides_subsp._caroliniana","Pityopsis_graminifolia","Plantago_virginica","Platanus_occidentalis","Pluchea_baccharis","Pluchea_camphorata","Poa_annua","Polanisia_tenuifolia","Polygala_lutea","Polygala_setacea","Polygala_violacea","Polygonella_gracilis","Polygonum_pinicola","Polypogon_monspeliensis","Polypremum_procumbens","Pontederia_cordata","Portulaca_amilis","Portulaca_pilosa","Potamogeton_diversifolius","Prunus_angustifolia","Prunus_caroliniana","Prunus_serotina","Prunus_umbellata","Pseudognaphalium_obtusifolium","Pseudosasa_japonica","Psoralea_canescens","Psoralea_lupinella","Pterocaulon_pycnostachyum","Pyracantha_koidzumii","Pyrrhopappus_carolinianus","Pyrus_communis","Quercus_chapmanii","Quercus_falcata","Quercus_geminata","Quercus_hemisphaerica","Quercus_incana","Quercus_laevis","Quercus_margarettae","Quercus_myrtifolia","Quercus_nigra","Quercus_pumila","Quercus_shumardii","Quercus_stellata","Quercus_virginiana","Rhexia_cubensis","Rhexia_mariana","Rhexia_nashii","Rhododendron_indicum","Rhododendron_simsii","Rhus_copallinum","Rhynchosia_cinerea","Rhynchosia_difformis","Rhynchosia_reniformis","Rhynchosia_tomentosa","Rhynchosia_tomentosa_var._mollissima","Rhynchospora_chalarocephala","Rhynchospora_fascicularis","Rhynchospora_globularis","Rhynchospora_grayi","Rhynchospora_inundata","Rhynchospora_megalocarpa","Rhynchospora_microcarpa","Rhynchospora_microcephala","Rhynchospora_pusilla","Rhynchospora_scirpoides","Rhynchospora_wrightiana","Richardia_brasiliensis","Richardia_scabra","Rosa_laevigata","Rosmarinus_officinalis","Rubus_argutus","Rubus_cuneifolius","Rubus_trivialis","Rudbeckia_mollis","Ruellia_caroliniensis","Rumex_hastatulus","Sabal_etonia","Sabal_palmetto","Sabatia_grandiflora","Saccharum_giganteum","Sacciolepis_striata","Sagittaria_graminea","Sagittaria_isoetiformis","Sagittaria_lancifolia","Sagittaria_lancifolia_subsp._media","Sagittaria_latifolia","Salix_caroliniana","Salvia_azurea","Salvia_lyrata","Sassafras_albidum","Saururus_cernuus","Schizachyrium_sanguineum","Schizachyrium_sanguineum_var._hirtiflorum","Schizachyrium_scoparium","Schizachyrium_stoloniferum","Schoenocaulon_dubium","Scirpus_cyperinus","Scleria_ciliata","Scleria_muehlenbergii","Scleria_reticularis","Scleria_triglomerata","Scoparia_dulcis","Scutellaria_multiglandulosa","Scutellaria_racemosa","Senna_obtusifolia","Serenoa_repens","Sericocarpus_tortifolius","Sesbania_punicea","Setaria_magna","Setaria_parviflora","Seymeria_cassioides","Seymeria_pectinata","Sida_rhombifolia","Sida_ulmifolia","Sideroxylon_lanuginosum","Sideroxylon_reclinatum","Sideroxylon_reclinatum_subsp._rufotomentosum","Sideroxylon_tenax","Silene_antirrhina","Silphium_compositum","Sisyrinchium_rosulatum","Smilax_auriculata","Smilax_bona.nox","Smilax_glauca","Smilax_laurifolia","Smilax_pumila","Smilax_smallii","Smilax_walteri","Solanum_americanum","Solanum_chenopodioides","Solanum_viarum","Solidago_altissima","Solidago_arguta","Solidago_arguta_subsp_caroliniana","Solidago_brachyphylla","Solidago_canadensis","Solidago_odora","Solidago_odora_subsp._chapmanii","Solidago_stricta","Soliva_sessilis","Sophronanthe_hispida","Sorghastrum_nutans","Sorghastrum_secundum","Spartina_bakeri","Spermacoce_prostrata","Spermolepis_divaricata","Spermolepis_echinata","Sphenopholis_obtusata","Spiraea_fritschiana","Spiranthes_tuberosa","Sporobolus_bakeri","Sporobolus_clandestinus","Sporobolus_diandrus","Sporobolus_indicus","Sporobolus_junceus","Stachys_floridana","Stachytarpheta_jamaicensis","Stellaria_media","Stenotaphrum_secundatum","Stillingia_sylvatica","Stipulicida_setacea","Stylisma_abdita","Stylisma_humistrata","Stylisma_patens","Stylosanthes_biflora","Symphyotrichum_concolor","Symphyotrichum_dumosum","Symphyotrichum_elliottii","Symphyotrichum_porteri","Symphyotrichum_undulatum","Syngonanthus_flavidulus","Taxodium_distichum","Taxodium_distichum_var._imbricatum","Tephrosia_chrysophylla","Tephrosia_florida","Tephrosia_mohrii","Tephrosia_virginiana","Tillandsia_bartramii","Tillandsia_recurvata","Tillandsia_usneoides","Toxicodendron_pubescens","Toxicodendron_radicans","Trachelospermum_jasminoides","Tradescantia_ohiensis","Tradescantia_roseolens","Tragia_urens","Triadenum_virginicum","Triadica_sebifera","Trichostema_dichotomum","Trichostema_setaceum","Trifolium_campestre","Trifolium_carolinianum","Trifolium_repens","Trilisa_paniculata","Triodanis_perfoliata","Triplasis_americana","Typha_latifolia","Ulmus_parvifolia","Urena_lobata","Urochloa_ramosa","Urtica_chamaedryoides","Utricularia_floridana","Utricularia_foliosa","Utricularia_gibba","Utricularia_inflata","Utricularia_julianae","Utricularia_olivacea","Utricularia_purpurea","Utricularia_radiata","Utricularia_resupinata","Utricularia_subulata","Vaccinium_arboreum","Vaccinium_corymbosum","Vaccinium_myrsinites","Vaccinium_stamineum","Verbena_carnea","Verbena_halei","Verbena_officinalis","Verbena_scabra","Verbesina_heterophylla","Vernonia_angustifolia","Veronica_arvensis","Viburnum_nudum","Viburnum_rufidulum","Viburnum_sp","Vicia_tetrasperma","Viola_lanceolata","Viola_palmata","Viola_sororia","Vitex_agnus.castus","Vitex_rotundifolia","Vitex_trifolia","Vitis_aestivalis","Vitis_cinerea","Vitis_rotundifolia","Vulpia_octoflora","Wahlenbergia_marginata","Websteria_confervoides","Wisteria_sinensis","Xyris_ambigua","Xyris_baldwiniana","Xyris_caroliniana","Youngia_japonica","Yucca_aloifolia","Yucca_filamentosa","Yucca_flaccida","Zamia_pumila","Zanthoxylum_clava.herculis","Zephyranthes_simpsonii","Zornia_bracteata"
"Woody","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","1","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0"
"Herb","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","0","0","1","1"
