"","Abies_fraseri","Acalypha_rhomboidea","Acalypha_virginica","Acer_monspessulanum","Acer_pensylvanicum","Acer_rubrum","Acer_saccharum","Acer_spicatum","Achillea_millefolium","Aconitum_reclinatum","Aconitum_uncinatum","Actaea_brachypoda","Actaea_pachypoda","Actaea_podocarpa","Actaea_racemosa","Aesculus_flava","Agalinis_purpurea","Agalinis_tenuifolia","Ageratina_altissima","Ageratina_aromatica","Agrimonia_gryposepala","Agrimonia_microcarpa","Agrimonia_parviflora","Agrimonia_rostellata","Agrostis_capillaris","Agrostis_elliottiana","Agrostis_perennans","Agrostis_stolonifera","Aletris_farinosa","Allium_tricoccum","Allium_vineale","Alnus_serrulata","Ambrosia_artemisiifolia","Amelanchier_arborea","Amelanchier_laevis","Amianthium_muscitoxicum","Amphicarpaea_bracteata","Andropogon_gerardii","Andropogon_glomeratus","Andropogon_ternarius","Andropogon_virginicus","Anemone_hepatica_var._acuta","Anemone_quinquefolia","Anemone_virginiana","Angelica_triquinata","Angelica_venenosa","Antennaria_plantaginifolia","Antennaria_solitaria","Anthoxanthum_odoratum","Apios_americana","Aplectrum_hyemale","Apocynum_androsaemifolium","Apocynum_cannabinum","Arabidopsis_thaliana","Aralia_nudicaulis","Aralia_racemosa","Aralia_spinosa","Arisaema_quinatum","Arisaema_triphyllum","Aristolochia_macrophylla","Arnoglossum_atriplicifolium","Arnoglossum_reniforme","Aronia_arbutifolia","Aronia_melanocarpa","Aruncus_dioicus","Arundinaria_gigantea","Asarum_arifolium","Asarum_arifolium_var._ruthii","Asarum_virginicum","Asclepias_exaltata","Asclepias_incarnata_subsp._pulchra","Asclepias_quadrifolia","Asclepias_tuberosa","Asimina_triloba","Aster_asteroides","Aster_dumosus","Astilbe_biternata","Aureolaria_flava","Aureolaria_laevigata","Aureolaria_virginica","Baptisia_tinctoria","Barbarea_verna","Barbarea_vulgaris","Berberis_bealei","Berberis_thunbergii","Betula_alleghaniensis","Betula_lenta","Bidens_bipinnata","Bidens_frondosa","Boechera_canadensis","Boechera_stricta","Brachyelytrum_erectum","Bromus_kalmii","Bulbostylis_capillaris","Calamagrostis_cinnoides","Calycanthus_floridus","Calystegia_catesbeiana","Calystegia_sericata","Campanula_americana","Campanula_divaricata","Capnoides_sempervirens","Cardamine_clematitis","Cardamine_diphylla","Cardamine_flagellifera","Cardamine_hirsuta","Cardamine_parviflora","Carex_abscondita","Carex_aestivalis","Carex_albicans","Carex_amphibola","Carex_appalachica","Carex_atlantica","Carex_austrocaroliniana","Carex_biltmoreana","Carex_blanda","Carex_communis","Carex_crebriflora","Carex_crinita","Carex_debilis","Carex_debilis_var._rudgei","Carex_intumescens","Carex_laxiflora","Carex_leptalea","Carex_lurida","Carex_manhartii","Carex_pensylvanica","Carex_plantaginea","Carex_prasina","Carex_rosea","Carex_ruthii","Carex_scabrata","Carex_scoparia","Carex_sp","Carex_stipata","Carex_striata","Carex_swanii","Carex_torta","Carex_tribuloides","Carex_virescens","Carex_vulpinoidea","Carpinus_caroliniana","Carya_alba","Carya_cordiformis","Carya_glabra","Carya_ovata","Carya_pallida","Carya_tomentosa","Castanea_dentata","Castanea_mollissima","Castanea_pumila","Castilleja_coccinea","Catalpa_bignonioides","Caulophyllum_thalictroides","Ceanothus_americanus","Celtis_occidentalis","Cerastium_fontanum_subsp._vulgare","Chamaecrista_fasciculata","Chelone_glabra","Chimaphila_maculata","Chionanthus_virginicus","Chrysopsis_mariana","Circaea_lutetiana","Circaea_lutetiana_subsp._canadensis","Cirsium_discolor","Cirsium_vulgare","Cladrastis_kentukea","Claytonia_virginica","Clematis_virginiana","Clethra_acuminata","Clintonia_umbellulata","Coleataenia_anceps","Collinsonia_canadensis","Commelina_communis","Commelina_erecta","Conoclinium_coelestinum","Conopholis_americana","Convolvulus_arvensis","Coreopsis_major","Coreopsis_pubescens","Cornus_alternifolia","Cornus_amomum","Cornus_florida","Crataegus_flabellata","Crataegus_viridis","Cryptotaenia_canadensis","Cuscuta_compacta","Cuscuta_gronovii","Cuscuta_rostrata","Cymophyllus_fraserianus","Cyperus_sp","Cyperus_strigosus","Cypripedium_acaule","Cypripedium_parviflorum","Cypripedium_parviflorum_var._pubescens","Danthonia_compressa","Danthonia_sericea","Danthonia_spicata","Daucus_carota","Deschampsia_flexuosa","Desmodium_canescens","Dianthus_armeria","Dicentra_canadensis","Dicentra_cucullaria","Dichanthelium_acuminatum","Dichanthelium_clandestinum","Dichanthelium_commutatum","Dichanthelium_depauperatum","Diervilla_sessilifolia","Diervillea_sessilifolia","Digitaria_ischaemum","Diodella_teres","Dioscorea_polystachya","Dioscorea_villosa","Diospyros_virginiana","Diphylleia_cymosa","Disporum_sessile","Doellingeria_infirma","Doellingeria_umbellata","Duchesnea_indica","Elaeagnus_umbellata","Elephantopus_carolinianus","Elymus_hystrix","Elymus_virginicus","Epifagus_virginiana","Epigaea_repens","Epilobium_coloratum","Eragrostis_stapfii","Erechtites_hieraciifolius","Erigeron_annuus","Erigeron_canadense","Erigeron_pulchellus","Erigeron_strigosus","Erythronium_americanum","Eubotrys_recurva","Euonymus_americanus","Euonymus_fortunei","Eupatorium_album","Eupatorium_fistulosum","Eupatorium_perfoliatum","Euphorbia_corollata","Euphorbia_maculata","Euphorbia_paniculata","Eurybia_chlorolepis","Eurybia_macrophylla","Eutrochium_fistulosum","Eutrochium_purpureum","Fagus_grandifolia","Fallopia_scandens","Ferula_communis","Festuca_rubra","Forsythia_viridissima","Fragaria_virginiana","Frasera_caroliniensis","Fraxinus_americana","Galax_aphylla","Galax_urceolata","Galearis_spectabilis","Galinsoga_quadriradiata","Galium_aparine","Galium_circaezans","Galium_latifolium","Galium_pilosum","Galium_tinctorium","Galium_triflorum","Gaultheria_procumbens","Gaylussacia_baccata","Gaylussacia_tomentosa","Gaylussacia_ursina","Gentiana_decora","Gentiana_saponaria","Gentianella_quinquefolia","Geranium_carolinianum","Geranium_maculatum","Geum_virginianum","Gillenia_trifoliata","Glechoma_hederacea","Glecoma_hederacea","Goodyera_pubescens","Halesia_diptera","Hamamelis_virginiana","Helenium_autumnale","Helianthus_atrorubens","Helianthus_microcephalus","Helianthus_strumosus","Hemerocallis_fulva","Hepatica_acutiloba","Hepatica_nobilis","Heuchera_americana","Heuchera_villosa","Hibiscus_moscheutos","Hieracium_paniculatum","Hieracium_venosum","Holcus_lanatus","Houstonia_caerulea","Houstonia_longifolia_var._tenuifolia","Houstonia_purpurea","Houstonia_pusilla","Houstonia_serpyllifolia","Hybanthus_concolor","Hydatica_petiolaris","Hydrangea_arborescens","Hydrophyllum_canadense","Hydrophyllum_virginianum","Hylodesmum_nudiflorum","Hypericum_buckleyi","Hypericum_gentianoides","Hypericum_mutilum","Hypericum_punctatum","Hypericum_stragulum","Hypoxis_hirsuta","Ilex_ambigua","Ilex_montana","Ilex_opaca","Ilex_verticillata","Impatiens_capensis","Impatiens_pallida","Ipomoea_pandurata","Iris_cristata","Iris_sanguinea","Isotria_verticillata","Juglans_cinerea","Juglans_nigra","Juncus_acuminatus","Juncus_effusus","Juncus_gymnocarpus","Juncus_marginatus","Juncus_subcaudatus","Juncus_tenuis","Juniperus_virginiana","Kalmia_latifolia","Kerria_japonica","Krigia_montana","Krigia_virginica","Lactuca_canadensis","Lamium_purpureum","Laportea_canadensis","Lathyrus_latifolius","Lechea_racemulosa","Leersia_virginica","Lepidium_campestre","Lespedeza_cuneata","Lespedeza_thunbergii","Lespedeza_violacea","Leucanthemum_vulgare","Leucothoe_axillaris","Leucothoe_fontanesiana","Liatris_squarrulosa","Ligusticum_canadense","Ligustrum_sinense","Lilium_michauxii","Lilium_superbum","Lindera_benzoin","Linum_striatum","Liparis_liliifolia","Liriodendron_tulipifera","Lobelia_amoena","Lobelia_cardinalis","Lobelia_inflata","Lobelia_puberula","Lobelia_siphilitica","Lobelia_spicata","Lolium_perenne","Lonicera_japonica","Ludwigia_alternifolia","Ludwigia_palustris","Luzula_acuminata","Luzula_echinata","Lyonia_ligustrina","Lysimachia_lanceolata","Lysimachia_prolifera","Lysimachia_quadrifolia","Magnolia_acuminata","Magnolia_fraseri","Magnolia_grandiflora","Maianthemum_racemosum","Malaxis_unifolia","Malus_angustifolia","Malus_pumila","Medeola_virginiana","Melampyrum_lineare","Melampyrum_pratense","Melanthium_parviflorum","Melanthium_virginicum","Melilotus_officinalis","Menziesia_pilosa","Micranthes_micranthidifolia","Micranthes_pensylvanica","Micranthes_petiolaris","Microstegium_vimineum","Mimosa_quadrivalvis","Mimosa_quadrivalvis_var._angustata","Mimulus_ringens","Mitchella_repens","Mitella_diphylla","Mollugo_verticillata","Monarda_clinopodia","Monarda_didyma","Monotropa_hypopitys","Monotropa_uniflora","Monotropsis_odorata","Muhlenbergia_schreberi","Muhlenbergia_tenuifolia","Nabalus_roanensis","Nabalus_trifoliolatus","Narcissus_jonquilla","Narcissus_pseudonarcissus","Neottia_smallii","Nyssa_sylvatica","Oenothera_biennis","Oenothera_fruticosa","Orobanche_uniflora","Osmorhiza_claytonii","Ostrya_virginiana","Oxalis_grandis","Oxalis_stricta","Oxalis_violacea","Oxydendrum_arboreum","Oxypolis_rigidior","Packera_anonyma","Panax_quinquefolius","Panax_trifolius","Panicum_angustifolium","Panicum_dichotomiflorum","Panicum_lanuginosum","Parnassia_asarifolia","Parthenocissus_quinquefolia","Paspalum_laeve","Paspalum_setaceum","Paulownia_tomentosa","Pedicularis_canadensis","Penstemon_smallii","Persicaria_longiseta","Persicaria_pensylvanica","Persicaria_sagittata","Persicaria_virginiana","Phacelia_dubia","Phleum_pratense","Phlox_carolina","Phlox_glaberrima","Phlox_maculata","Phoradendron_leucarpum","Phryma_leptostachya","Physalis_heterophylla","Physocarpus_opulifolius","Physostegia_virginiana","Phytolacca_americana","Pilea_pumila","Pilosella_caespitosa","Pinus_rigida","Pinus_strobus","Plantago_lanceolata","Plantago_major","Plantago_rugelii","Plantago_virginica","Platanthera_ciliaris","Platanthera_clavellata","Platanthera_flava","Platanthera_psycodes","Platanus_occidentalis","Poa_palustris","Poa_sylvestris","Podophyllum_peltatum","Polygala_curtissii","Polygala_paucifolia","Polygala_sanguinea","Polygala_verticillata","Polygonatum_biflorum","Polygonatum_pubescens","Polygonum_tenue","Populus_candicans","Populus_nigra","Potentilla_canadensis","Potentilla_retusa","Prosartes_lanuginosa","Prosartes_maculata","Prunella_vulgaris","Prunus_angustifolia","Prunus_pensylvanica","Prunus_persica","Prunus_serotina","Pseudognaphalium_obtusifolium","Pycnanthemum_incanum","Pycnanthemum_montanum","Pycnanthemum_tenuifolium","Pyrrhopappus_carolinianus","Pyrularia_pubera","Quercus_alba","Quercus_bicolor","Quercus_coccinea","Quercus_falcata","Quercus_imbricaria","Quercus_marilandica","Quercus_michauxii","Quercus_montana","Quercus_rubra","Quercus_velutina","Ranunculus_allegheniensis","Ranunculus_hispidus","Ranunculus_recurvatus","Rhexia_virginica","Rhododendron_calendulaceum","Rhododendron_catawbiense","Rhododendron_maximum","Rhododendron_pilosum","Rhus_copallinum","Rhus_glabra","Rhynchospora_capitellata","Ribes_cynosbati","Robinia_pseudoacacia","Rosa_carolina","Rosa_multiflora","Rosa_palustris","Rubus_allegheniensis","Rubus_argutus","Rubus_canadensis","Rubus_flagellaris","Rubus_hispidus","Rubus_occidentalis","Rubus_odoratus","Rudbeckia_hirta","Rudbeckia_laciniata","Rumex_acetosella","Rumex_crispus","Rumex_obtusifolius","Sabatia_angularis","Saccharum_alopecuroides","Sagittaria_latifolia","Salix_humilis","Salix_nigra","Salix_sericea","Salvia_lyrata","Sambucus_canadensis","Sambucus_nigra","Sambucus_racemosa_subsp._pubens","Sanguinaria_canadensis","Sanicula_gregaria","Sanicula_marilandica","Saponaria_officinalis","Sassafras_albidum","Schizachyrium_scoparium","Scirpus_expansus","Scirpus_polyphyllus","Scleria_triglomerata","Scolochloa_festucacea","Scutellaria_elliptica","Scutellaria_incana","Sedum_ternatum","Senecio_aureus","Senna_hebecarpa","Setaria_viridis","Sibbaldiopsis_tridenta","Silene_antirrhina","Silene_ovata","Silene_stellata","Silene_virginica","Silphium_compositum","Sisyrinchium_albidum","Sisyrinchium_mucronatum","Smallanthus_uvedalia","Smilax_glauca","Smilax_herbacea","Smilax_rotundifolia","Solanum_carolinense","Solidago_bicolor","Solidago_caesia","Solidago_curtisii","Solidago_gigantea","Solidago_latissimifolia","Solidago_nemoralis","Solidago_odora","Solidago_petiolaris","Solidago_roanensis","Solidago_rugosa","Solidago_speciosa","Solidago_uliginosa","Sorbus_americana","Sorghastrum_nutans","Spiraea_henryi","Spiraea_japonica","Spiranthes_cernua","Spiranthes_lacera_var._gracilis","Stachys_latidens","Stachys_tenuifolia","Stellaria_pubera","Stenanthium_gramineum","Streptopus_lanceolatus","Stylosanthes_biflora","Symphoricarpos_orbiculatus","Symphyotrichum_cordifolium","Symphyotrichum_lateriflorum","Symphyotrichum_patens","Symphyotrichum_pilosum","Symphyotrichum_puniceum","Symphyotrichum_retroflexum","Symphyotrichum_subulatum","Symphyotrichum_undulatum","Symplocos_tinctoria","Taraxacum_officinale","Tephrosia_virginiana","Thalictrum_clavatum","Thalictrum_coriaceum","Thalictrum_dioicum","Thalictrum_pubescens","Thalictrum_thalictroides","Thaspium_barbinode","Thaspium_trifoliatum","Thermopsis_villosa","Tiarella_cordifolia","Tilia_americana","Tilia_americana_var._heterophylla","Tipularia_discolor","Toxicodendron_radicans","Toxicodendron_vernix","Tradescantia_ohiensis","Tradescantia_subaspera","Trautvetteria_caroliniensis","Trichostema_dichotomum","Tridens_flavus","Trifolium_campestre","Trifolium_incarnatum","Trifolium_pratense","Trifolium_repens","Trillium_catesbaei","Trillium_erectum","Trillium_grandiflorum","Trillium_rugelii","Trillium_undulatum","Trillium_vaseyi","Triodanis_perfoliata","Triosteum_aurantiacum","Triosteum_perfoliatum","Triphora_trianthophora","Tsuga_canadensis","Typha_latifolia","Uvularia_grandiflora","Uvularia_perfoliata","Uvularia_sessilifolia","Vaccinium_constablaei","Vaccinium_corymbosum","Vaccinium_erythrocarpum","Vaccinium_simulatum","Vaccinium_stamineum","Vaccinium_vacillans","Veratrum_parviflorum","Veratrum_viride","Verbascum_thapsus","Verbena_urticifolia","Veronica_arvensis","Veronica_officinalis","Veronica_persica","Viburnum_acerifolium","Viburnum_cassinoides","Viburnum_lentago","Viburnum_nudum","Vicia_caroliniana","Vicia_sativa_subsp._nigra","Vinca_minor","Viola_appalachiensis","Viola_bicolor","Viola_blanda","Viola_canadensis","Viola_cucullata","Viola_emarginata","Viola_hastata","Viola_macloskeyi","Viola_macloskeyi_subsp._pallens","Viola_palmata","Viola_papilionacea","Viola_pedata","Viola_pubescens_var._scabriuscula","Viola_rotundifolia","Viola_sororia","Vitis_aestivalis","Vitis_aestivalis_var._argentifolia","Vitis_berlandieri","Vitis_labrusca","Vitis_vulpina","Vulpia_octoflora","Xanthorhiza_simplicissima","Xyris_torta","Zizia_aptera"
"Woody","1","0","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0"
"Herb","0","1","1","0","0","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","0","0","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","0","1","1","0","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1"
