"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",586,19460.7808316327,22196.9526972804,425.743915942277,1,-6.42680203566003,0.001,999
"Herb",623,17583.2668637977,23049.7898669814,403.079871173261,1,-13.561885358532,0.001,999
