"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",485,17123.1758322211,19605.6936259567,436.224253815154,1,-5.69092106187091,0.001,999
"Herb",703,18844.8406558457,24381.3462500848,403.366056398127,1,-13.7257597817664,0.001,999
