"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Woody",219,273.054787483572,253.998485459202,5.18950949198117,1000,3.67208154331656,1,999,-3.67208154331656
"Herb",921,244.077667880321,253.720972137299,1.23289594179919,1,-7.82166923423018,0.001,999,7.82166923423018
