"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",181,7750.80743352843,9114.75106152927,359.74149880252,1,-3.79145478778799,0.001,999
"Herb",592,15445.4024653025,18343.3248475771,279.285847739093,1,-10.3761877149671,0.001,999
