"","Abelia_uniflora","Abies_nephrolepis","Abutilon_theophrasti","Acalypha_australis","Acer_truncatum","Achillea_alpina","Achnatherum_pekinense","Achyranthes_bidentata","Aconitum_alboviolaceum","Aconitum_kusnezoffii","Aconitum_sinomontanum","Actaea_asiatica","Actaea_dahurica","Actinidia_arguta","Actinidia_kolomikta","Adenocaulon_himalaicum","Adenophora_divaricata","Adenophora_elata","Adenophora_paniculata","Adenophora_polyantha","Adenophora_trachelioides","Adenophora_wawreana","Adoxa_moschatellina","Agastache_rugosa","Agrimonia_pilosa","Agrostis_clavata","Agrostis_gigantea","Ailanthus_altissima","Ajuga_lupulina","Alcea_rosea","Allium_anisopodium","Allium_macranthum","Allium_neriniflorum","Allium_plurifoliatum","Allium_ramosum","Allium_senescens","Allium_tenuissimum","Allium_thunbergii","Allium_victorialis","Amaranthus_blitum","Amaranthus_retroflexus","Amethystea_caerulea","Amorpha_fruticosa","Ampelopsis_aconitifolia","Ampelopsis_humulifolia","Amphicarpaea_edgeworthii","Anaphalis_hancockii","Androsace_mariae","Androsace_umbellata","Anemarrhena_asphodeloides","Anemone_cathayensis","Anemone_obtusiloba","Anemone_rivularis_var._flore.minore","Angelica_dahurica","Angelica_polymorpha","Anthoxanthum_glabrum","Anthoxanthum_nitens","Anthriscus_sylvestris","Aquilegia_viridiflora","Aquilegia_yabeana","Arabis_hirsuta","Arctium_lappa","Arisaema_amurense","Arisaema_erubescens","Aristida_adscensionis","Aristolochia_debilis","Artemisia_annua","Artemisia_argyi","Artemisia_brachyloba","Artemisia_capillaris","Artemisia_dentata","Artemisia_eriopoda","Artemisia_gmelinii","Artemisia_igniaria","Artemisia_japonica","Artemisia_lavandulifolia","Artemisia_mongolica","Artemisia_scoparia","Artemisia_sieversiana","Artemisia_subdigitata","Arthraxon_hispidus","Arundinella_anomala","Asparagus_schoberioides","Asparagus_trichophyllus","Aster_ageratoides","Aster_alpinus","Aster_tataricus","Astilbe_chinensis","Astragalus_complanatus","Astragalus_hancockii","Astragalus_melilotoides","Astragalus_scaberrimus","Astragalus_stevenianus","Astragalus_trichopodus","Atractylodes_lancea","Avena_chinensis","Bassia_scoparia","Berberis_amurensis","Berberis_poiretii","Berberis_sibirica","Betula_chinensis","Betula_costata","Betula_davurica","Betula_platyphylla","Betula_utilis","Betula_utilis_subsp._albosinensis","Bidens_parviflora","Bidens_pilosa","Bidens_tripartita","Bistorta_vivipara","Bolbostemma_paniculatum","Bothriochloa_ischaemum","Bothriospermum_chinense","Bothriospermum_kusnezowii","Bothriospermum_secundum","Braya_humilis","Bupleurum_chinense","Bupleurum_chinense_f._octoradiatum","Bupleurum_chinense_f._pekinense","Bupleurum_chinense_f._vanheurckii","Bupleurum_scorzonerifolium","Calamagrostis_arundinacea","Calamagrostis_epigeios","Calamagrostis_purpurea","Callistephus_chinensis","Calystegia_hederacea","Calystegia_sepium","Campylotropis_macrocarpa","Cannabis_sativa","Capillipedium_parviflorum","Capsella_bursa.pastoris","Caragana_arborescens","Caragana_jubata","Caragana_pekinensis","Caragana_rosea","Cardamine_leucantha","Cardamine_microphylla","Cardamine_tangutorum","Carduus_crispus","Carex_capillaris","Carex_coriophora","Carex_davalliana","Carex_duriuscula","Carex_hancockiana","Carex_heterolepis","Carex_humilis","Carex_jaluensis","Carex_lanceolata","Carex_lasiocarpa","Carex_leiorhyncha","Carex_longerostrata","Carex_maximowiczii","Carex_neurocarpa","Carex_onoei","Carex_ovatispiculata","Carex_pediformis","Carex_remotiuscula","Carex_siderosticta","Carpesium_cernuum","Carpinus_turczaninovii","Catolobus_pendulus","Cedrus_deodara","Celastrus_orbiculatus","Celtis_bungeana","Celtis_koraiensis","Cephalonoplos_segetum","Cerastium_arvense","Chamaerhodos_canescens","Chamaerhodos_erecta","Chamerion_angustifolium","Chelidonium_majus","Chenopodiastrum_hybridum","Chenopodium_acuminatum","Chenopodium_album","Chenopodium_glaucum","Chenopodium_urbicum","Chenopodium_vulvaria","Chionanthus_retusus","Chloris_virgata","Chrysanthemum_chanetii","Chrysanthemum_lavandulifolium","Chrysanthemum_oreastrum","Chrysanthemum_zawadskii","Chrysosplenium_americanum","Chrysosplenium_flagelliferum","Chrysosplenium_valdepilosum","Circaea_alpina","Circaea_cordata","Cirsium_pendulum","Cirsium_setosum","Clausia_trichosepala","Cleistogenes_caespitosa","Cleistogenes_hackelii","Cleistogenes_hancei","Cleistogenes_polyphylla","Cleistogenes_squarrosa","Clematis_acerifolia","Clematis_aethusifolia","Clematis_brevicaudata","Clematis_heracleifolia","Clematis_hexapetala","Clematis_intricata","Clematis_macropetala","Clematis_ochotensis","Clematis_pinnata","Clinopodium_chinense","Clintonia_udensis","Cnidium_monnieri","Codonopsis_lanceolata","Codonopsis_pilosula","Commelina_communis","Convallaria_majalis","Convolvulus_arvensis","Corallorhiza_trifida","Cornus_bretschneideri","Corydalis_bungeana","Corydalis_edulis","Corydalis_fangshanensis","Corydalis_ochotensis","Corydalis_ophiocarpa","Corydalis_speciosa","Corydalis_wilfordii","Corylus_heterophylla","Corylus_mandshurica","Cotinus_coggygria","Cucurbita_moschata","Cuscuta_chinensis","Cuscuta_japonica","Cynanchum_auriculatum","Cynanchum_bungei","Cynanchum_chinense","Cynanchum_thesioides","Cynoglossum_divaricatum","Cyperus_amuricus","Cypripedium_calceolus","Cypripedium_guttatum","Cypripedium_macranthos","Dactylorhiza_viridis","Dasiphora_fruticosa","Datura_stramonium","Delphinium_grandiflorum","Dendranthema_naktongensis","Deutzia_baroniana","Deutzia_grandiflora","Deutzia_parviflora","Dianthus_chinensis","Dianthus_superbus","Diarthron_linifolium","Digitaria_ciliaris","Digitaria_ischaemum","Dioscorea_hemsleyi","Dioscorea_nipponica","Dipsacus_japonicus","Disporum_viridescens","Dontostemon_dentatus","Dontostemon_micranthus","Dontostemon_pinnatifidus","Dracocephalum_moldavica","Dracocephalum_rupestre","Duchesnea_chrysantha","Echinochloa_crus.galli","Echinops_latifolius","Eleocharis_valleculosa","Eleusine_indica","Eleutherococcus_senticosus","Eleutherococcus_sessiliflorus","Elsholtzia_ciliata","Elsholtzia_densa","Elsholtzia_stauntonii","Elymus_barbicallus","Elymus_ciliaris","Elymus_dahuricus","Elymus_excelsus","Elymus_gmelinii","Elymus_kamoji","Elymus_pendulinus","Elymus_sibiricus","Ephedra_equisetina","Ephedra_monosperma","Epilobium_amurense","Epilobium_hirsutum","Epilobium_palustre","Epipactis_helleborine","Epipogium_aphyllum","Eragrostis_cilianensis","Eragrostis_ferruginea","Eragrostis_pilosa","Eragrostis_poaeoides","Eremogone_juncea","Erigeron_acris","Eriochloa_villosa","Erodium_stephanianum","Erysimum_amurense","Erythranthe_microphylla","Euonymus_alatus","Euonymus_maackii","Euonymus_semenovii","Eupatorium_japonicum","Euphorbia_esula","Euphorbia_humifusa","Euphorbia_pekinensis","Fagopyrum_esculentum","Fagopyrum_tataricum","Fallopia_dentatoalata","Festuca_extremiorientalis","Festuca_ovina","Flueggea_suffruticosa","Fraxinus_bungeana","Fraxinus_chinensis_subsp._rhynchophylla","Galearis_tschiliensis","Galium_boreale","Galium_bungei","Galium_linearifolium","Galium_maximowiczii","Galium_spurium","Galium_verum","Gentiana_macrophylla","Gentiana_pseudoaquatica","Gentiana_squarrosa","Gentiana_zollingeri","Geranium_dahuricum","Geranium_koraiense","Geranium_platyanthum","Geranium_sibiricum","Geum_aleppicum","Ginkgo_biloba","Gleditsia_microphylla","Gueldenstaedtia_stenophylla","Gueldenstaedtia_verna_subsp._multiflora","Gymnadenia_conopsea","Gypsophila_tschiliensis","Helianthus_annuus","Helictochloa_hookeri_subsp._schelliana","Hemerocallis_minor","Hemiptelea_davidii","Heracleum_moellendorffii","Herminium_alaschanicum","Herminium_monorchis","Hibiscus_trionum","Hieracium_umbellatum","Himalaiella_nivea","Hippophae_rhamnoides","Humulus_scandens","Hydrangea_bretschneideri","Hylotelephium_pallescens","Hylotelephium_tatarinowii","Hypecoum_leptocarpum","Hypericum_ascyron","Hyphear_tanakae","Impatiens_noli.tangere","Imperata_cylindrica","Incarvillea_sinensis","Indigofera_bungeana","Indigofera_kirilowii","Inula_japonica","Ipomoea_purpurea","Iris_dichotoma","Iris_lactea","Iris_ruthenica","Iris_tigridia","Isodon_inflexus","Ixeris_chinensis","Juglans_mandshurica","Juglans_regia","Juncus_bufonius","Juncus_compressus","Juniperus_chinensis","Juniperus_rigida","Klasea_centauroides","Kobresia_filifolia","Koeleria_macrantha","Koelreuteria_paniculata","Koenigia_divaricata","Kummerowia_stipulacea","Lactuca_indica","Lactuca_tatarica","Lactuca_triangulata","Lagenaria_siceraria","Lagopsis_supina","Laportea_macrostachya","Lappula_myosotis","Larix_gmelinii","Larix_gmelinii_var._olgensis","Larix_gmelinii_var._principis.rupprechtii","Larix_kaempferi","Lathyrus_davidii","Lathyrus_humilis","Lathyrus_quinquenervius","Leibnitzia_anandria","Leontopodium_leontopodioides","Leontopodium_lingianum","Leonurus_macranthus","Leonurus_sibiricus","Lepidium_apetalum","Leptopus_chinensis","Lespedeza_bicolor","Lespedeza_caraganae","Lespedeza_davurica","Lespedeza_floribunda","Lespedeza_inschanica","Lespedeza_juncea","Lespedeza_tomentosa","Ligularia_intermedia","Ligularia_mongolica","Ligularia_sibirica","Ligusticum_jeholense","Lilium_concolor","Lilium_lancifolium","Lilium_pumilum","Linum_stelleroides","Liparis_campylostalix","Lithospermum_erythrorhizon","Lomatogonium_carinthiacum","Lomatogonium_rotatum","Lonicera_chrysantha","Lonicera_elisae","Lonicera_hispida","Lonicera_nigra","Lycium_barbarum","Lycium_chinense","Lysimachia_pentapetala","Maianthemum_bicolor","Maianthemum_japonicum","Malaxis_monophyllos","Malus_baccata","Malva_verticillata","Mazus_stachydifolius","Medicago_lupulina","Medicago_ruthenica","Medicago_sativa","Melica_onoei","Melica_radula","Melica_scabrosa","Melica_turczaninowiana","Melica_virgata","Melilotus_officinalis","Menispermum_dauricum","Mentha_canadensis","Merremia_sibirica","Mertensia_davurica","Metaplexis_japonica","Miscanthus_sacchariflorus","Monotropa_hypopitys","Morus_alba","Morus_mongolica","Muhlenbergia_huegelii","Muhlenbergia_japonica","Myosotis_sylvatica","Myosoton_aquaticum","Myripnois_dioica","Nabalus_tatarinowii","Nasturtium_officinale","Neomolinia_fauriei","Neomolinia_mandshurica","Neottia_acuminata","Neottia_camtschatea","Oplismenus_undulatifolius","Oresitrophe_rupifraga","Orobanche_coerulescens","Orobanche_pycnostachya","Orychophragmus_violaceus","Ostryopsis_davidiana","Oxalis_corniculata","Paeonia_obovata","Panicum_miliaceum","Papaver_nudicaule","Parasenecio_hosoianus","Parietaria_micrantha","Paris_verticillata","Parnassia_oreophila","Parnassia_palustris","Patis_coreana","Patrinia_heterophylla","Patrinia_scabiosifolia","Patrinia_scabra","Pedicularis_artselaeri","Pedicularis_chinensis","Pedicularis_resupinata","Pedicularis_spicata","Pedicularis_striata","Pedicularis_tatarinowii","Periploca_sepium","Persicaria_amphibia","Persicaria_hydropiper","Persicaria_lapathifolia","Persicaria_longiseta","Persicaria_nepalensis","Persicaria_perfoliata","Persicaria_sieboldii","Persicaria_thunbergii","Peucedanum_harry.smithii","Peucedanum_terebinthaceum","Phedimus_aizoon","Phellodendron_amurense","Philadelphus_pekinensis","Phlomis_jeholensis","Phlomis_umbrosa","Phragmites_australis","Phryma_leptostachya","Phtheirospermum_japonicum","Physalis_alkekengi","Picea_meyeri","Picrasma_quassioides","Picris_japonica","Pilea_pumila","Pimpinella_bobrovii","Pinellia_pedatisecta","Pinellia_ternata","Pinus_armandii","Pinus_tabuliformis","Pistacia_chinensis","Plantago_asiatica","Plantago_depressa","Plantago_major","Platanthera_chlorantha","Platanthera_fuscescens","Platanthera_ussuriensis","Platycladus_orientalis","Platycodon_grandiflorus","Poa_acroleuca","Poa_alta","Poa_arctica","Poa_attenuata","Poa_botryoides","Poa_elanata","Poa_faberi","Poa_nemoralis","Poa_pratensis","Poa_sibirica","Poa_sphondylodes","Poa_versicolor","Polemonium_chinense","Polygala_sibirica","Polygala_tatarinowii","Polygala_tenuifolia","Polygonatum_involucratum","Polygonatum_macropodum","Polygonatum_megaphyllum","Polygonatum_odoratum","Polygonatum_sibiricum","Polygonum_aviculare","Polygonum_sentivosum","Polygonum_suffultum","Ponerorchis_cucullata","Populus_cathayana","Populus_davidiana","Populus_maximowiczii","Populus_pseudomaximowiczii","Populus_pseudosimonii","Populus_simonii","Populus_tomentosa","Populus_x_canadensis","Portulaca_oleracea","Potentilla_ancistrifolia","Potentilla_anserina","Potentilla_chinensis","Potentilla_flagellaris","Potentilla_fragarioides","Potentilla_glabra","Potentilla_longifolia","Potentilla_multicaulis","Potentilla_multifida","Potentilla_nivea","Potentilla_reptans","Potentilla_simulatrix","Potentilla_supina_subsp._supina","Potentilla_tanacetifolia","Potentilla_verticillaris","Prenanthes_macrophylla","Primula_maximowiczii","Prunus_armeniaca","Prunus_davidiana","Prunus_dictyoneura","Prunus_humilis","Prunus_padus","Pseudostellaria_davidii","Pseudostellaria_heterantha","Pseudostellaria_sylvatica","Pterygocalyx_volubilis","Puccinellia_micrandra","Puccinellia_tenuifolia","Pueraria_montana","Pyrus_betulifolia","Quercus_mongolica","Quercus_variabilis","Quercus_wutaishanica","Ranunculus_bungei","Ranunculus_chinensis","Ranunculus_japonicus","Rehmannia_glutinosa","Rhamnus_arguta","Rhamnus_davurica","Rhamnus_globosa","Rhamnus_parvifolia","Rhamnus_utilis","Rheum_franzenbachii","Rhodiola_dumulosa","Rhodiola_kirilowii","Rhododendron_auriculatum","Rhododendron_micranthum","Ribes_burejense","Ribes_mandshuricum","Rorippa_islandica","Rosa_bella","Rosa_davurica","Rubia_chinensis","Rubia_cordifolia","Rubus_crataegifolius","Rubus_parvifolius","Rubus_saxatilis","Rumex_acetosa","Rumex_patientia","Rupiphila_tachiroei","Salix_caprea","Salix_cheilophila","Salix_linearistipularis","Salix_matsudana","Salix_pentandra","Salix_reinii","Salix_rorida","Salix_sinica","Salix_viminalis","Salsola_collina","Salvia_miltiorrhiza","Salvia_umbratica","Sambucus_racemosa_subsp._sieboldiana","Sambucus_williamsii","Sanguisorba_applanata","Sanguisorba_officinalis","Sanicula_chinensis","Saposhnikovia_divaricata","Sauromatum_giganteum","Saussurea_alata","Saussurea_baicalensis","Saussurea_chinensis","Saussurea_dielsiana","Saussurea_iodostegia","Saussurea_japonica","Saussurea_muliensis","Saussurea_neoserrata","Saussurea_pectinata","Saussurea_tangutica","Schisandra_chinensis","Schizonepeta_tenuifolia","Scilla_scilloides","Scorzonera_austriaca","Scrophularia_buergeriana","Scrophularia_modesta","Scrophularia_moellendorffii","Scrophularia_ningpoensis","Scutellaria_baicalensis","Scutellaria_pekinensis","Scutellaria_scordifolia","Sedum_stellariifolium","Senecio_dubitabilis","Senecio_nemorensis","Senecio_scandens_var._incisus","Senna_nomame","Setaria_italica","Setaria_viridis","Sigesbeckia_orientalis","Silene_aprica","Silene_firma","Silene_foliosa","Silene_himalayensis","Silene_jenisseensis","Silene_tatarinowii","Siphonostegia_chinensis","Smilax_stans","Solanum_americanum","Solanum_lycopersicum","Solanum_macaonense","Solanum_septemlobum","Sonchus_oleraceus","Sonchus_wightianus","Sophora_flavescens","Sophora_japonica","Sorbus_discolor","Sorbus_pohuashanensis","Sphallerocarpus_gracilis","Spiraea_mongolica","Spiraea_pubescens","Spiraea_trilobata","Spiranthes_sinensis","Spodiopogon_sibiricus","Stachys_affinis","Stachys_chinensis","Stellaria_chinensis","Stellaria_dichotoma","Stellaria_media","Stellaria_palustris","Stellera_chamaejasme","Stipa_bungeana","Stipa_krylovii","Stipa_sibirica","Streptolirion_volubile","Swertia_chinensis","Swertia_erythrosticta","Swertia_pseudochinensis","Syneilesis_aconitifolia","Syringa_pubescens","Syringa_reticulata","Syringa_reticulata_subsp._pekinensis","Syringa_villosa","Takhtajaniantha_pusilla","Taraxacum_alatum","Taraxacum_erythrospermum","Taraxacum_mongolicum","Taraxacum_platypecidium","Taraxacum_sinicum","Teloxys_aristata","Tephroseris_kirilowii","Tephroseris_rufa","Thalictrum_baicalense","Thalictrum_minus_var._hypoleucum","Thalictrum_petaloideum","Thalictrum_przewalskii","Thalictrum_squarrosum","Thalictrum_tenue","Themeda_triandra","Thladiantha_dubia","Thymus_mongolicus","Tilia_mandshurica","Tilia_mongolica","Torilis_scabra","Tragus_berteronianus","Tricyrtis_maculata","Trientalis_europaea","Triticum_aestivum","Trollius_chinensis","Tussilago_farfara","Ulmus_davidiana_var._japonica","Ulmus_laciniata","Ulmus_macrocarpa","Ulmus_pumila","Urtica_angustifolia","Urtica_cannabina","Urtica_laetevirens","Vaccaria_hispanica","Valeriana_officinalis","Veratrum_nigrum","Veronica_chinoalpina","Veronica_linariifolia","Veronica_rockii","Viburnum_mongolicum","Viburnum_opulus_var._sargentii","Vicia_amoena","Vicia_cracca","Vicia_nigricans","Vicia_pseudo.orobus","Vicia_unijuga","Vincetoxicum_atratum","Vincetoxicum_inamoenum","Vincetoxicum_mongolicum","Vincetoxicum_pycnostelma","Viola_acuminata","Viola_biflora","Viola_collina","Viola_dissecta","Viola_mandshurica","Viola_prionantha","Viola_selkirkii","Viola_variegata","Viola_yezoensis","Vitis_amurensis","Vitis_piasezkii","Vitis_piasezkii_var._pagnuccii","Wikstroemia_chamaedaphne","Wikstroemia_ligustrina","Xanthium_strumarium","Xanthoceras_sorbifolium","Youngia_tenuifolia","Zinnia_violacea"
"Woody","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","0","0","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0"
"Herb","0","0","1","1","0","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","0","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","0","0","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","0","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1","0","1","1"
