"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",686,20394.9315616799,23906.8473857661,446.976959647615,1,-7.85703993972064,0.001,999
"Herb",873,21265.2125341435,27528.1347306835,425.63533272446,1,-14.7142911197046,0.001,999
