"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Woody",586,265.820117688064,258.582258880712,3.01555457122713,996,2.40017503792234,0.996,999,-2.40017503792234
"Herb",623,242.969573954884,258.653741156769,2.83626418201595,1,-5.5298682334794,0.001,999,5.5298682334794
