"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",100,5240.788821,6292.9811481024,252.026248469212,1,-4.17493151405192,0.001,999
"Herb",154,6915.79224841041,8286.08005462291,240.186164133019,1,-5.70510716617967,0.001,999
