"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"Woody",686,33.7817597683848,40.7268851861655,1.44003631988085,1,-4.82288211894225,0.001,999,4.82288211894225
"Herb",873,28.4068177215004,36.8121065787251,1.04021772479146,1,-8.08031689607072,0.001,999,8.08031689607072
