"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",218,8606.12376246256,10312.3327175439,373.631981695113,1,-4.56654954252173,0.001,999
"Herb",679,17343.4901428506,20683.3761482502,288.696612130572,1,-11.5688437794658,0.001,999
