"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",219,7743.29076062031,10071.4973628621,383.404692614639,1,-6.0724520254683,0.001,999
"Herb",921,21276.9745790515,23856.4726348764,268.7872251377,1,-9.59680302701685,0.001,999
