"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",111,5955.7839491307,7129.97657351266,305.735777700924,1,-3.84054700176627,0.001,999
"Herb",270,9887.35975557876,12170.3446599295,249.708975824865,1,-9.14258246748769,0.001,999
