"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Woody",181,268.212522796444,252.013554157372,5.78629496647402,998,2.7995407653652,0.998,999,-2.7995407653652
"Herb",352,234.732912786677,251.82869663312,2.97245391827828,1,-5.75140416519744,0.001,999,5.75140416519744
