"","Acalypha_gracilens","Acer_rubrum","Acer_saccharum","Acer_saccharum_subsp._floridanum","Acer_saccharum_subsp._leucoderme","Aesculus_parviflora","Aesculus_pavia","Agalinis_plukenetii","Agalinis_purpurea","Ageratina_aromatica","Agrimonia_pubescens","Albizia_julibrissin","Aletris_farinosa","Allium_canadense","Alnus_serrulata","Alternanthera_philoxeroides","Ambrosia_artemisiifolia","Amelanchier_arborea","Amianthium_muscitoxicum","Amorpha_fruticosa","Amsonia_tabernaemontana","Andropogon_gyrans","Andropogon_ternarius","Anemone_americana","Anemone_hepatica_var._acuta","Angelica_venenosa","Antennaria_plantaginifolia","Apocynum_cannabinum","Aralia_spinosa","Arisaema_triphyllum","Aristolochia_serpentaria","Arnoglossum_atriplicifolium","Arundinaria_gigantea","Arundinaria_tecta","Asarum_arifolium","Asclepias_amplexicaulis","Asclepias_tuberosa","Asclepias_variegata","Asclepias_verticillata","Asemeia_violacea","Asimina_parviflora","Asimina_triloba","Aureolaria_flava","Aureolaria_pectinata","Baccharis_halimifolia","Baptisia_megacarpa","Berchemia_scandens","Betula_nigra","Bidens_alba","Bignonia_capreolata","Boehmeria_cylindrica","Brasenia_schreberi","Brintonia_discoidea","Buchnera_floridana","Cabomba_caroliniana","Callicarpa_americana","Calopogon_tuberosus","Calystegia_sepium","Campsis_radicans","Carex_abscondita","Carex_annectens","Carex_atlantica_subsp._capillacea","Carex_blanda","Carex_cherokeensis","Carex_crinita","Carex_folliculata","Carex_glaucescens","Carex_intumescens","Carex_joorii","Carex_leptalea","Carex_lupulina","Carex_lurida","Carex_muehlenbergii","Carex_striatula","Carphephorus_odoratissimus","Carpinus_caroliniana","Carya_alba","Carya_glabra","Carya_ovata","Carya_pallida","Carya_tomentosa","Castanea_dentata","Castanea_pumila","Ceanothus_americanus","Celtis_laevigata","Celtis_tenuifolia","Centrosema_virginianum","Cephalanthus_occidentalis","Cercis_canadensis","Chamaecrista_nictitans","Chamaelirium_luteum","Chasmanthium_laxum","Chelone_glabra","Chionanthus_virginicus","Chrysopsis_mariana","Cirsium_carolinianum","Cirsium_horridulum","Clematis_virginiana","Cnidoscolus_urens","Cnidoscolus_urens_var._stimulosus","Cocculus_carolinus","Coleataenia_anceps","Commelina_virginica","Conoclinium_coelestinum","Coreopsis_auriculata","Coreopsis_grandiflora","Coreopsis_lanceolata","Coreopsis_major","Coreopsis_pubescens","Cornus_amomum","Cornus_florida","Cornus_foemina","Cornus_stricta","Corylus_cornuta","Crataegus_flava","Crataegus_pulcherrima","Crataegus_sp","Crataegus_spathulata","Crataegus_uniflora","Crotalaria_rotundifolia","Crotalaria_sagittalis","Croton_capitatus","Croton_sp","Cuscuta_compacta","Cyperus_strigosus","Danthonia_sericea","Daucus_carota","Decumaria_barbara","Delphinium_alabamicum","Delphinium_carolinianum","Desmodium_laevigatum","Desmodium_lineatum","Desmodium_nudiflorum","Desmodium_viridiflorum","Dianthus_armeria","Dichanthelium_boscii","Dichanthelium_commutatum","Dichanthelium_depauperatum","Dichanthelium_dichotomum","Dichanthelium_laxiflorum","Dichanthelium_scabriusculum","Diodella_teres","Diodia_virginiana","Dioscorea_villosa","Diospyros_virginiana","Ditrysinia_fruticosa","Dulichium_arundinaceum","Eclipta_prostrata","Elaeagnus_umbellata","Elatine_brachysperma","Eleocharis_ovata","Eleocharis_tortilis","Eleocharis_tuberculosa","Elephantopus_carolinianus","Elephantopus_nudatus","Elephantopus_tomentosus","Enemion_biternatum","Erechtites_hieraciifolius","Erigeron_strigosus","Eryngium_integrifolium","Eryngium_yuccifolium","Eubotrys_racemosa","Euonymus_americanus","Eupatorium_album","Eupatorium_fistulosum","Eupatorium_mohrii","Eupatorium_perfoliatum","Eupatorium_rotundifolium","Eupatorium_serotinum","Euphorbia_corollata","Euphorbia_nutans","Euphorbia_pubentissima","Eutrochium_fistulosum","Fagus_grandifolia","Frangula_caroliniana","Fraxinus_americana","Fraxinus_biltmoreana","Fraxinus_pennsylvanica","Fuirena_squarrosa","Gaillardia_aestivalis","Galium_circaezans","Galium_obtusum","Galium_tinctorium","Gaura_filipes","Gaylussacia_dumosa","Gelsemium_sempervirens","Gnaphalium_pensylvanicum","Gonolobus_suberosus","Gratiola_pilosa","Gratiola_virginiana","Gymnopogon_ambiguus","Gymnopogon_brevifolius","Halesia_carolina","Halesia_diptera","Hamamelis_virginiana","Helenium_amarum","Helenium_autumnale","Helianthus_angustifolius","Helianthus_divaricatus","Helianthus_microcephalus","Helianthus_resinosus","Hepatica_nobilis","Hibiscus_moscheutos","Hieracium_gronovii","Houstonia_caerulea","Houstonia_purpurea","Hydrangea_quercifolia","Hylodesmum_nudiflorum","Hypericum_drummondii","Hypericum_gentianoides","Hypericum_hypericoides","Hypericum_mutilum","Hypericum_stans","Hypericum_walteri","Hypoxis_hirsuta","Ilex_ambigua","Ilex_decidua","Ilex_opaca","Ilex_verticillata","Ilex_vomitoria","Illicium_floridanum","Indigofera_hirsuta","Ionactis_linariifolia","Ipomoea_batatas","Ipomoea_lacunosa","Ipomoea_pandurata","Iris_verna","Isopyrum_biternatum","Itea_virginica","Jacquemontia_tamnifolia","Juglans_nigra","Juncus_canadensis","Juncus_coriaceus","Juncus_effusus","Juncus_marginatus","Juncus_polycephalus","Juncus_tenuis","Juncus_validus","Juniperus_virginiana","Kalmia_latifolia","Krigia_biflora","Krigia_cespitosa","Lechea_minor","Lechea_mucronata","Lespedeza_bicolor","Lespedeza_cuneata","Lespedeza_hirta","Lespedeza_procumbens","Lespedeza_repens","Lespedeza_thunbergii","Liatris_spicata","Liatris_squarrosa","Liatris_squarrulosa","Ligusticum_canadense","Ligustrum_sinense","Lilium_michauxii","Linaria_canadensis","Linum_medium","Linum_medium_var._texanum","Linum_virginianum","Liquidambar_styraciflua","Liriodendron_tulipifera","Lithospermum_parviflorum","Lobelia_cardinalis","Lobelia_georgiana","Lobelia_puberula","Lobelia_siphilitica","Lonicera_japonica","Ludwigia_alternifolia","Ludwigia_decurrens","Ludwigia_palustris","Lycopus_rubellus","Lycopus_virginicus","Lysimachia_quadrifolia","Magnolia_acuminata","Magnolia_macrophylla","Magnolia_pyramidata","Magnolia_tripetala","Magnolia_virginiana","Manfreda_virginica","Marshallia_trinervia","Matelea_carolinensis","Matelea_decipiens","Matelea_gonocarpos","Mayaca_fluviatilis","Mikania_scandens","Mimosa_quadrivalvis","Mimosa_quadrivalvis_var._angustata","Mimosa_virgula","Mitchella_repens","Morella_cerifera","Morus_alba","Morus_rubra","Myrica_heterophylla","Nothoscordum_bivalve","Nymphaea_odorata","Nyssa_biflora","Nyssa_sylvatica","Oenothera_filipes","Oenothera_gaura","Oenothera_speciosa","Onosmodium_virginianum","Orbexilum_pedunculatum_var._gracile","Orontium_aquaticum","Ostrya_virginiana","Oxalis_articulata_subsp._rubra","Oxalis_grandis","Oxalis_stricta","Oxydendrum_arboreum","Packera_anonyma","Packera_paupercula","Panicum_hemitomon","Panicum_lanuginosum","Panicum_polyanthes","Panicum_rigidulum","Panicum_sphaerocarpon","Parthenocissus_quinquefolia","Paspalum_dilatatum","Paspalum_floridanum","Paspalum_laeve","Paspalum_notatum","Paspalum_notatum_var._saurae","Passiflora_lutea","Peltandra_virginica","Penstemon_pallidus","Penthorum_sedoides","Persicaria_hydropiperoides","Persicaria_punctata","Persicaria_setacea","Phlox_divaricata","Phlox_maculata","Phlox_pilosa","Phlox_speciosa","Phoradendron_leucarpum","Physalis_sp","Phytolacca_americana","Pinus_echinata","Pinus_palustris","Pinus_taeda","Pinus_virginiana","Piptochaetium_avenaceum","Pityopsis_graminifolia","Pityopsis_graminifolia_var._latifolia","Plantago_aristata","Plantago_lanceolata","Platanthera_ciliaris","Platanthera_clavellata","Platanus_occidentalis","Pluchea_camphorata","Polygala_nana","Polygala_violacea","Polygonum_setaceum","Polypremum_procumbens","Populus_sp","Potamogeton_diversifolius","Potentilla_canadensis","Proserpinaca_palustris","Prunella_vulgaris","Prunus_serotina","Prunus_umbellata","Pseudognaphalium_helleri","Pseudognaphalium_obtusifolium","Pueraria_montana","Pueraria_montana_var._lobata","Pycnanthemum_incanum","Pycnanthemum_tenuifolium","Pyrrhopappus_carolinianus","Quercus_alba","Quercus_arkansana","Quercus_bicolor","Quercus_coccinea","Quercus_falcata","Quercus_incana","Quercus_laevis","Quercus_laurifolia","Quercus_margarettae","Quercus_marilandica","Quercus_montana","Quercus_nigra","Quercus_phellos","Quercus_prinus","Quercus_rubra","Quercus_stellata","Quercus_velutina","Ranunculus_sardous","Rhexia_mariana","Rhexia_virginica","Rhododendron_alabamense","Rhododendron_canescens","Rhus_aromatica","Rhus_copallinum","Rhus_glabra","Rhynchosia_difformis","Rhynchosia_reniformis","Rhynchosia_tomentosa","Rhynchospora_corniculata","Rhynchospora_globularis","Rhynchospora_glomerata","Rhynchospora_nitens","Robinia_pseudoacacia","Rosa_bracteata","Rosa_carolina","Rosa_laevigata","Rubus_argutus","Rubus_flagellaris","Rubus_trivialis","Rudbeckia_hirta","Rudbeckia_mollis","Ruellia_caroliniensis","Sabatia_angularis","Saccharum_contortum","Saccharum_giganteum","Sacciolepis_striata","Sagittaria_latifolia","Sagittaria_platyphylla","Salix_nigra","Salvia_azurea","Salvia_lyrata","Salvia_urticifolia","Sambucus_canadensis","Sambucus_nigra","Sanguinaria_canadensis","Sanicula_canadensis","Sanicula_smallii","Sassafras_albidum","Schizachyrium_scoparium","Scirpus_cyperinus","Scleria_oligantha","Scleria_triglomerata","Scutellaria_elliptica","Scutellaria_incana","Scutellaria_mellichampii","Securigera_varia","Sericocarpus_linifolius","Sericocarpus_tortifolius","Setaria_parviflora","Seymeria_cassioides","Sida_elliottii","Sideroxylon_lanuginosum","Silene_virginica","Silphium_compositum","Sisyrinchium_langloisii","Sisyrinchium_mucronatum","Smallanthus_uvedalia","Smilax_bona.nox","Smilax_glauca","Smilax_herbacea","Smilax_laurifolia","Smilax_pumila","Smilax_rotundifolia","Smilax_smallii","Smilax_walteri","Solanum_carolinense","Solidago_arguta","Solidago_bicolor","Solidago_erecta","Solidago_odora","Solidago_petiolaris","Solidago_rugosa","Sorghastrum_nutans","Sorghum_bicolor","Sparganium_americanum","Spigelia_marilandica","Spiraea_prunifolia","Spiranthes_cernua","Spiranthes_vernalis","Sporobolus_junceus","Stewartia_malacodendron","Stillingia_sylvatica","Strophostyles_umbellata","Stylisma_humistrata","Stylosanthes_biflora","Styrax_grandifolium","Styrax_grandifolius","Symphyotrichum_lateriflorum","Symphyotrichum_patens","Symphyotrichum_undulatum","Symplocos_tinctoria","Taxodium_distichum","Taxodium_distichum_var._imbricatum","Tephrosia_virginiana","Tetragonotheca_helianthoides","Tilia_americana","Tipularia_discolor","Toxicodendron_pubescens","Toxicodendron_radicans","Toxicodendron_vernix","Tradescantia_ohiensis","Tragia_urticifolia","Trepocarpus_aethusae","Trichostema_setaceum","Tridens_flavus","Trilisa_odoratissima","Triodanis_perfoliata","Typha_latifolia","Ulmus_alata","Utricularia_gibba","Utricularia_subulata","Vaccinium_arboreum","Vaccinium_corymbosum","Vaccinium_elliottii","Vaccinium_fuscatum","Vaccinium_myrsinites","Vaccinium_pallidum","Vaccinium_stamineum","Vaccinium_vacillans","Verbascum_thapsus","Verbena_brasiliensis","Verbena_carnea","Verbena_officinalis","Verbena_rigida","Vernonia_angustifolia","Vernonia_gigantea","Viburnum_acerifolium","Viburnum_cassinoides","Viburnum_dentatum","Viburnum_nudum","Vicia_caroliniana","Viola_brittoniana","Viola_pedata","Viola_primulifolia","Vitis_aestivalis","Vitis_cinerea","Vitis_rotundifolia","Vitis_vulpina","Wahlenbergia_marginata","Xanthorhiza_simplicissima","Xyris_caroliniana","Xyris_difformis","Xyris_laxifolia_var._iridifolia","Xyris_torta","Yucca_filamentosa","Yucca_flaccida"
"Woody","0","1","1","1","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","1","0","0","0","0","1","1","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0"
"Herb","1","0","0","0","0","0","0","1","1","1","1","0","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","1","0","1","1","0","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","1","1","0","0","1","1","1","1","0","0","1","1","1","0","1","1","1","1","0","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","1","0","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","0","1","1","1","0","0","0","1","1","0","1","0","0","0","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","1","0","1","1","1","1","1","1"
