"","Abies_balsamea","Acer_pensylvanicum","Acer_rubrum","Acer_saccharum","Acer_spicatum","Achillea_millefolium","Actaea_brachypoda","Actaea_pachypoda","Alnus_alnobetula","Alnus_incana","Alnus_viridis","Ambrosia_artemisiifolia","Amelanchier_arborea","Amelanchier_bartramiana","Amelanchier_laevis","Anaphalis_margaritacea","Antennaria_neglecta","Apocynum_androsaemifolium","Apocynum_cannabinum","Aquilegia_vulgaris","Aralia_hispida","Aralia_nudicaulis","Aralia_racemosa","Arceuthobium_pusillum","Aronia_melanocarpa","Artemisia_sp","Asclepias_exaltata","Asclepias_syriaca","Betula_alleghaniensis","Betula_cordifolia","Betula_nigra","Betula_papyrifera","Betula_populifolia","Brachyelytrum_aristosum","Calystegia_sepium","Capnoides_sempervirens","Carex_crawfordii","Carex_oligosperma","Carex_pauciflora","Carex_scabrata","Carex_sp","Celastrus_scandens","Cephalanthus_occidentalis","Chamaedaphne_calyculata","Chamerion_angustifolium","Chelone_glabra","Circaea_alpina","Clintonia_borealis","Comptonia_peregrina","Coptis_trifolia","Cornus_alternifolia","Cornus_canadensis","Cornus_sericea","Corylus_americana","Crataegus_sp","Cypripedium_acaule","Dianthus_carthusianorum","Diapensia_lapponica","Dichanthelium_clandestinum","Diervilla_lonicera","Drosera_intermedia","Drosera_rotundifolia","Empetrum_atropurpureum","Epifagus_virginiana","Epigaea_repens","Epipactis_helleborine","Erigeron_annuus","Erigeron_canadense","Erigeron_canadensis","Eriocaulon_aquaticum","Eriophorum_angustifolium","Eriophorum_virginicum","Eupatorium_perfoliatum","Euphrasia_nemorosa","Eurybia_divaricata","Eurybia_radula","Euthamia_graminifolia","Eutrochium_maculatum","Fagus_grandifolia","Fallopia_cilinodis","Fragaria_virginiana","Frangula_alnus","Fraxinus_americana","Fraxinus_biltmoreana","Galeopsis_tetrahit","Galium_odoratum","Galium_palustre","Gaultheria_hispidula","Gaultheria_procumbens","Gaylussacia_baccata","Goodyera_tesselata","Hamamelis_virginiana","Hieracium_paniculatum","Hieracium_umbellatum","Houstonia_caerulea","Hypericum_canadense","Hypericum_ellipticum","Hypericum_majus","Hypericum_perforatum","Hypericum_punctatum","Ilex_laevigata","Ilex_mucronata","Ilex_verticillata","Iris_versicolor","Juncus_effusus","Juncus_sp","Juniperus_communis","Kalmia_polifolia","Kalmia_procumbens","Lactuca_biennis","Larix_laricina","Lechea_intermedia","Ledum_palustre_subsp._groenlandicum","Linnaea_borealis","Lobelia_dortmanna","Lobelia_inflata","Lotus_corniculatus","Luzula_spicata","Lycopus_uniflorus","Lysimachia_borealis","Lysimachia_terrestris","Maianthemum_canadense","Maianthemum_racemosum","Medeola_virginiana","Medicago_lupulina","Mitchella_repens","Monarda_fistulosa","Monotropa_uniflora","Myrica_gale","Myriophyllum_tenellum","Nabalus_altissimus","Nuphar_variegata","Nuttallanthus_canadensis","Oclemena_acuminata","Oenothera_biennis","Orthilia_secunda","Ostrya_virginiana","Oxalis_montana","Panicum_sp","Paronychia_argyrocoma","Penstemon_digitalis","Picea_mariana","Picea_rubens","Pilosella_aurantiaca","Pinus_banksiana","Pinus_resinosa","Pinus_strobus","Plantago_rugelii","Platanthera_aquilonis","Platanthera_clavellata","Platanthera_orbiculata_var._macrophylla","Platanthera_psycodes","Poa_sp","Pogonia_ophioglossoides","Populus_balsamifera","Populus_deltoides","Populus_grandidentata","Populus_tremuloides","Potamogeton_alpinus","Potentilla_retusa","Prunella_vulgaris","Prunus_pensylvanica","Prunus_serotina","Pseudognaphalium_macounii","Pseudognaphalium_obtusifolium","Pyrola_americana","Quercus_rubra","Ranunculus_acris","Ranunculus_tuberosus","Rhexia_virginica","Rhododendron_canadense","Rhododendron_groenlandicum","Rhus_typhina","Robinia_pseudoacacia","Rosa_spinosissima","Rubus_allegheniensis","Rubus_chamaemorus","Rubus_dalibarda","Rubus_junceus","Rubus_laciniatus","Rubus_odoratus","Rubus_repens","Rubus_vermontanus","Rudbeckia_hirta","Rumex_acetosella","Rumex_obtusifolius","Salix_alba","Salix_sp","Sambucus_canadensis","Sambucus_nigra","Sambucus_racemosa","Saponaria_officinalis","Sarracenia_purpurea","Scirpus_cyperinus","Scorzoneroides_autumnalis","Sibbaldiopsis_tridenta","Silphium_asteriscus","Solidago_arguta","Solidago_bicolor","Solidago_calcicola","Solidago_leiocarpa","Solidago_rugosa","Solidago_simplex","Sorbus_americana","Sparganium_americanum","Sparganium_angustifolium","Spiraea_alba","Spiraea_tomentosa","Spiranthes_cernua","Stachys_annua","Stellaria_borealis","Streptopus_lanceolatus","Symphyotrichum_cordifolium","Symphyotrichum_lanceolatum","Symphyotrichum_novi.belgii","Symphyotrichum_puniceum","Symphyotrichum_sp","Taxus_canadensis","Thalictrum_pubescens","Thuja_occidentalis","Tilia_americana","Triadenum_fraseri","Triadenum_virginicum","Trifolium_arvense","Trillium_cernuum","Trillium_erectum","Trillium_undulatum","Tsuga_canadensis","Tussilago_farfara","Typha_latifolia","Ulmus_rubra","Utricularia_intermedia","Utricularia_julianae","Utricularia_macrorhiza","Utricularia_resupinata","Uvularia_sessilifolia","Vaccinium_altomontanum","Vaccinium_angustifolium","Vaccinium_caespitosum","Vaccinium_corymbosum","Vaccinium_myrtilloides","Vaccinium_uliginosum","Vaccinium_vitis.idaea","Veratrum_viride","Verbascum_thapsus","Verbena_hastata","Veronica_sp","Viburnum_alnifolium","Viburnum_dentatum","Viburnum_lantanoides","Viburnum_nudum","Viburnum_sp","Vicia_cracca","Viola_renifolia"
"Woody","1","1","1","1","1","0","0","0","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","1","0","1","0","1","1","1","0","0","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","0","0","1","1","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","0","0"
"Herb","0","0","0","0","0","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","1","1","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1","0","1","0","1","0","0","0","1","1","0","1","0","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","1","1","1","0","0","0","1","0","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","0","0","1","0","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","1","1","0","0","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","0","0","1","1","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","1","1","1","1","0","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","1"
