Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Coweeta,0,253.843343537615,254.798101654287,252.027491111851,250.940906716369,262.074373081745
Havard,253.843343537615,0,259.60998722538,255.88324664662,255.616355243271,266.599237022178
Mountain_Lake,254.798101654287,259.60998722538,0,258.465395228386,256.445287788208,266.244211352883
Ordway,252.027491111851,255.88324664662,258.465395228386,0,252.951379927964,265.922360147391
Talladega,250.940906716369,255.616355243271,256.445287788208,252.951379927964,0,263.099139495427
White_Mountain,262.074373081745,266.599237022178,266.244211352883,265.922360147391,263.099139495427,0
