"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"disjun_sp",145,310.96007818029,254.334476209347,8.30388825475273,1000,6.81916714600945,1,999,-6.81916714600945
"Non_disjun",2049,248.982434006074,254.515661187455,0.586802524791999,1,-9.42945360254302,0.001,999,9.42945360254302
