,ntaxa,pd.obs,pd.rand.mean,pd.rand.sd,pd.obs.rank,pd.obs.z,pd.obs.p,runs
CN,3667,66034.38481,67705.29572,617.0901709,9,-2.707725695,0.009,999
US,2194,44617.83287,49052.88573,692.8149003,1,-6.401497505,0.001,999
