"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"disjun_sp",145,50.6040551531331,76.627594998592,5.46315271441894,1,-4.76346556756043,0.001,999,4.76346556756043
"Non_disjun",2049,24.1115382059716,25.3639496061812,0.231024919431046,1,-5.42110956382531,0.001,999,5.42110956382531
