"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs","NRI"
"Coweeta",681,249.631428625307,254.585051356068,3.18642594923722,56,-1.5546015534888,0.056,999,1.5546015534888
"Havard",897,257.575378823185,254.510358686419,2.43751544708366,892,1.2574361899667,0.892,999,-1.2574361899667
"Mountain_Lake",381,259.660214477049,254.573902893317,4.64961507609974,854,1.09392100216571,0.854,999,-1.09392100216571
"Ordway",749,251.953168718643,254.340492241193,2.95490268032179,224,-0.807919508973448,0.224,999,0.807919508973448
"Talladega",533,251.896878128042,254.503838936843,3.71269695974868,250,-0.702174413119081,0.25,999,0.702174413119081
"White_Mountain",254,271.886515227372,254.511587567376,5.95922885034118,997,2.9156335654069,0.997,999,-2.9156335654069
