"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs","NTI"
"Changbai",1140,28.9369958447454,34.1334909729564,1.05315245177148,1,-4.93422877140926,0.001,999,4.93422877140926
"Dongling",773,32.1507786067231,39.5518959137778,1.47567982775905,1,-5.0153950523902,0.001,999,5.0153950523902
"Gutian",1209,34.5682647055196,33.5131249432924,1.0050845417266,854,1.04980200015272,0.854,999,-1.04980200015272
"Shennong",1559,29.5793931608821,30.6057987755098,0.812965524618189,100,-1.26254506931239,0.1,999,1.26254506931239
"Tianmu",1188,32.9358420429912,33.7703547012248,1.0059703391414,210,-0.829559904266993,0.21,999,0.829559904266993
