"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Woody",1845,38071.5747104218,44062.5834435983,656.75108164144,1,-9.12219088882655,0.001,999
"Herb",3743,55541.5851521352,68569.2426972321,591.214543639217,1,-22.0354145297327,0.001,999
