"","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"Coweeta",681,20875.9936666141,22051.245055342,511.23668961377,14,-2.29884007271809,0.014,999
"Havard",897,24399.7185147958,26086.4764424059,498.323957087314,1,-3.38486220383461,0.001,999
"Mountain_Lake",381,14842.8044415379,15380.9936591423,463.528481019611,116,-1.16107044041931,0.116,999
"Ordway",749,22215.6744999211,23364.546860325,486.586628635228,12,-2.36108493902967,0.012,999
"Talladega",533,18968.570020672,18979.0317792846,497.732285993087,493,-0.0210188466912958,0.493,999
"White_Mountain",254,11289.3590095411,11905.948627089,432.504829057119,84,-1.42562481647225,0.084,999
