"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Acer pensylvanicum L.",-80.522843,37.375775,"Acer pensylvanicum L.","Sapindales","Sapindaceae","Acer","Acer pensylvanicum","Acer","pensylvanicum","United States of America"
"Diphasiastrum digitatum (Dill. ex A.Braun) Holub",-80.522747,37.375136,"Diphasiastrum digitatum (Dill. ex A.Braun) Holub","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum digitatum","Diphasiastrum","digitatum","United States of America"
"Erigeron strigosus Muhl. ex Willd.",-80.522747,37.375136,"Erigeron strigosus Muhl. ex Willd.","Asterales","Asteraceae","Erigeron","Erigeron strigosus","Erigeron","strigosus","United States of America"
"Clinopodium vulgare L.",-80.521042,37.375023,"Clinopodium vulgare L.","Lamiales","Lamiaceae","Clinopodium","Clinopodium vulgare","Clinopodium","vulgare","United States of America"
"Botrypus virginianus (L.) Michx.",-80.523581,37.37605,"Botrypus virginianus (L.) Michx.","Ophioglossales","Ophioglossaceae","Botrypus","Botrypus virginianus","Botrypus","virginianus","United States of America"
"Clintonia umbellulata (Michx.) Morong",-80.522747,37.375136,"Clintonia umbellulata (Michx.) Morong","Liliales","Liliaceae","Clintonia","Clintonia umbellulata","Clintonia","umbellulata","United States of America"
"Osmundastrum cinnamomeum (L.) C.Presl",-80.524108,37.374943,"Osmundastrum cinnamomeum (L.) C.Presl","Osmundales","Osmundaceae","Osmundastrum","Osmundastrum cinnamomeum","Osmundastrum","cinnamomeum","United States of America"
"Silene virginica L.",-80.522747,37.375136,"Silene virginica L.","Caryophyllales","Caryophyllaceae","Silene","Silene virginica","Silene","virginica","United States of America"
"Viburnum acerifolium L.",-80.522747,37.375136,"Viburnum acerifolium L.","Dipsacales","Adoxaceae","Viburnum","Viburnum acerifolium","Viburnum","acerifolium","United States of America"
"Quercus alba L.",-80.522438,37.375609,"Quercus alba L.","Fagales","Fagaceae","Quercus","Quercus alba","Quercus","alba","United States of America"
"Osmundastrum cinnamomeum (L.) C.Presl",-80.522747,37.375136,"Osmundastrum cinnamomeum (L.) C.Presl","Osmundales","Osmundaceae","Osmundastrum","Osmundastrum cinnamomeum","Osmundastrum","cinnamomeum","United States of America"
"Rhododendron calendulaceum Torr.",-80.522747,37.375136,"Rhododendron calendulaceum Torr.","Ericales","Ericaceae","Rhododendron","Rhododendron calendulaceum","Rhododendron","calendulaceum","United States of America"
"Acer rubrum L.",-80.522385,37.375671,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Acer saccharum Marshall",-80.522594,37.375582,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Polystichum acrostichoides (Michx.) Schott",-80.523337,37.375701,"Polystichum acrostichoides (Michx.) Schott","Polypodiales","Dryopteridaceae","Polystichum","Polystichum acrostichoides","Polystichum","acrostichoides","United States of America"
"Conopholis americana (L.) Wallr.",-80.522747,37.375136,"Conopholis americana (L.) Wallr.","Lamiales","Orobanchaceae","Conopholis","Conopholis americana","Conopholis","americana","United States of America"
"Salvia lyrata L.",-80.522747,37.375136,"Salvia lyrata L.","Lamiales","Lamiaceae","Salvia","Salvia lyrata","Salvia","lyrata","United States of America"
"Onoclea sensibilis L.",-80.52418,37.376264,"Onoclea sensibilis L.","Polypodiales","Onocleaceae","Onoclea","Onoclea sensibilis","Onoclea","sensibilis","United States of America"
"Quercus velutina Lam.",-80.521703,37.375031,"Quercus velutina Lam.","Fagales","Fagaceae","Quercus","Quercus velutina","Quercus","velutina","United States of America"
"Polypodium virginianum L.",-80.51805,37.377348,"Polypodium virginianum L.","Polypodiales","Polypodiaceae","Polypodium","Polypodium virginianum","Polypodium","virginianum","United States of America"
"Arisaema triphyllum (L.) Schott",-80.523544,37.374834,"Arisaema triphyllum (L.) Schott","Alismatales","Araceae","Arisaema","Arisaema triphyllum","Arisaema","triphyllum","United States of America"
"Magnolia acuminata L.",-80.522179,37.376228,"Magnolia acuminata L.","Magnoliales","Magnoliaceae","Magnolia","Magnolia acuminata","Magnolia","acuminata","United States of America"
