"name","longitude","latitude","scientificName","order","family","genus","species","genericName","specificEpithet","country"
"Fraxinus americana L.",-71.270088,44.054192,"Fraxinus americana L.","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Fraxinus","americana","United States of America"
"Dennstaedtia punctilobula (Michx.) T.Moore",-71.27705,44.04426,"Dennstaedtia punctilobula (Michx.) T.Moore","Polypodiales","Dennstaedtiaceae","Dennstaedtia","Dennstaedtia punctilobula","Dennstaedtia","punctilobula","United States of America"
"Polypodium appalachianum Haufler & Windham",-71.27653,44.03553,"Polypodium appalachianum Haufler & Windham","Polypodiales","Polypodiaceae","Polypodium","Polypodium appalachianum","Polypodium","appalachianum","United States of America"
"Acer saccharum Marshall",-71.270569,44.0551,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Acer rubrum L.",-71.270231,44.055197,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Athyrium filix-femina var. angustum (Willd.) Lawson",-71.27653,44.03553,"Athyrium filix-femina var. angustum (Willd.) Lawson","Polypodiales","Athyriaceae","Athyrium","Athyrium asplenioides","Athyrium","filix-femina","United States of America"
"Tsuga canadensis Carrière",-71.270271,44.05521,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Rubus allegheniensis Porter",-71.27705,44.04426,"Rubus allegheniensis Porter","Rosales","Rosaceae","Rubus","Rubus allegheniensis","Rubus","allegheniensis","United States of America"
"Acer rubrum L.",-71.269978,44.054685,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Aralia racemosa L.",-71.27705,44.04426,"Aralia racemosa L.","Apiales","Araliaceae","Aralia","Aralia racemosa","Aralia","racemosa","United States of America"
"Uvularia sessilifolia L.",-71.27679,44.03546,"Uvularia sessilifolia L.","Liliales","Colchicaceae","Uvularia","Uvularia sessilifolia","Uvularia","sessilifolia","United States of America"
"Fagus grandifolia Ehrh.",-71.270127,44.055173,"Fagus grandifolia Ehrh.","Fagales","Fagaceae","Fagus","Fagus grandifolia","Fagus","grandifolia","United States of America"
"Acer rubrum L.",-71.270044,44.056082,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Tsuga canadensis Carrière",-71.270516,44.055038,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Pyrola americana Sweet",-71.27653,44.03553,"Pyrola americana Sweet","Ericales","Ericaceae","Pyrola","Pyrola americana","Pyrola","americana","United States of America"
"Aralia racemosa L.",-71.27705,44.04426,"Aralia racemosa L.","Apiales","Araliaceae","Aralia","Aralia racemosa","Aralia","racemosa","United States of America"
"Gymnocarpium dryopteris Newm.",-71.27653,44.03553,"Gymnocarpium dryopteris Newm.","Polypodiales","Cystopteridaceae","Gymnocarpium","Gymnocarpium dryopteris","Gymnocarpium","dryopteris","United States of America"
"Tsuga canadensis Carrière",-71.269979,44.054735,"Tsuga canadensis Carrière","Pinales","Pinaceae","Tsuga","Tsuga canadensis","Tsuga","canadensis","United States of America"
"Hamamelis virginiana L.",-71.27045,44.055039,"Hamamelis virginiana L.","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana","Hamamelis","virginiana","United States of America"
"Aralia racemosa L.",-71.27705,44.04426,"Aralia racemosa L.","Apiales","Araliaceae","Aralia","Aralia racemosa","Aralia","racemosa","United States of America"
"Fraxinus biltmoreana Beadle",-71.270333,44.055132,"Fraxinus biltmoreana Beadle","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Fraxinus","biltmoreana","United States of America"
"Acer saccharum Marshall",-71.270386,44.055088,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Fraxinus americana L.",-71.275769,44.040977,"Fraxinus americana L.","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Fraxinus","americana","United States of America"
"Acer saccharum Marshall",-71.276672,44.036182,"Acer saccharum Marshall","Sapindales","Sapindaceae","Acer","Acer saccharum","Acer","saccharum","United States of America"
"Amelanchier bartramiana (Tausch) M.Roem.",-71.269913,44.055938,"Amelanchier bartramiana (Tausch) M.Roem.","Rosales","Rosaceae","Amelanchier","Amelanchier bartramiana","Amelanchier","bartramiana","United States of America"
"Picea rubens Sarg.",-71.276758,44.03536,"Picea rubens Sarg.","Pinales","Pinaceae","Picea","Picea rubens","Picea","rubens","United States of America"
"Hamamelis virginiana L.",-71.269913,44.055938,"Hamamelis virginiana L.","Saxifragales","Hamamelidaceae","Hamamelis","Hamamelis virginiana","Hamamelis","virginiana","United States of America"
"Fagus grandifolia Ehrh.",-71.276672,44.036182,"Fagus grandifolia Ehrh.","Fagales","Fagaceae","Fagus","Fagus grandifolia","Fagus","grandifolia","United States of America"
"Amelanchier bartramiana (Tausch) M.Roem.",-71.269913,44.055938,"Amelanchier bartramiana (Tausch) M.Roem.","Rosales","Rosaceae","Amelanchier","Amelanchier bartramiana","Amelanchier","bartramiana","United States of America"
"Acer rubrum L.",-71.276319,44.035629,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Cornus alternifolia L.f.",-71.276724,44.036181,"Cornus alternifolia L.f.","Cornales","Cornaceae","Cornus","Cornus alternifolia","Cornus","alternifolia","United States of America"
"Acer rubrum L.",-71.26039,44.055938,"Acer rubrum L.","Sapindales","Sapindaceae","Acer","Acer rubrum","Acer","rubrum","United States of America"
"Fraxinus americana L.",-71.276686,44.03548,"Fraxinus americana L.","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Fraxinus","americana","United States of America"
"Amelanchier bartramiana (Tausch) M.Roem.",-71.269913,44.055938,"Amelanchier bartramiana (Tausch) M.Roem.","Rosales","Rosaceae","Amelanchier","Amelanchier bartramiana","Amelanchier","bartramiana","United States of America"
"Acer spicatum Lam.",-71.29988,44.03736,"Acer spicatum Lam.","Sapindales","Sapindaceae","Acer","Acer spicatum","Acer","spicatum","United States of America"
"Acer spicatum Lam.",-71.29988,44.03736,"Acer spicatum Lam.","Sapindales","Sapindaceae","Acer","Acer spicatum","Acer","spicatum","United States of America"
"Oxalis montana Raf.",-71.28797,44.03911,"Oxalis montana Raf.","Oxalidales","Oxalidaceae","Oxalis","Oxalis montana","Oxalis","montana","United States of America"
