species,latitude,longitude,genus,epithet,family,order,country
Fallopia cilinodis,44.0309,-71.26331,Fallopia,cilinodis,Polygonaceae,Caryophyllales,United states
Aralia racemosa,44.04426,-71.27705,Aralia,racemosa,Araliaceae,Apiales,United states
Betula nigra,44.00242,-71.27781,Betula,nigra,Betulaceae,Fagales,United states
Galium palustre,43.99618,-71.34975,Galium,palustre,Rubiaceae,Gentianales,United states
Nabalus altissimus,44.00242,-71.27781,Nabalus,altissimus,Asteraceae,Asterales,United states
Tussilago farfara,44.00242,-71.27781,Tussilago,farfara,Asteraceae,Asterales,United states
Amelanchier arborea,44.007509,-71.277094,Amelanchier,arborea,Rosaceae,Rosales,United states
Nuphar variegata,44.0062,-71.27915,Nuphar,variegata,Nymphaeaceae,Nymphaeales,United states
Robinia pseudoacacia,44.0062,-71.27915,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Aralia nudicaulis,44.0309,-71.26331,Aralia,nudicaulis,Araliaceae,Apiales,United states
Ostrya virginiana,44.027092,-71.322516,Ostrya,virginiana,Betulaceae,Fagales,United states
Fagus grandifolia,44.055173,-71.270127,Fagus,grandifolia,Fagaceae,Fagales,United states
Viburnum lantanoides,44.035268,-71.27701,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Fraxinus americana,44.035423,-71.276807,Fraxinus,americana,Oleaceae,Lamiales,United states
Hamamelis virginiana,44.055938,-71.269913,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Acer spicatum,44.13304,-71.26039,Acer,spicatum,Sapindaceae,Sapindales,United states
Gaultheria hispidula,43.97408,-71.27017,Gaultheria,hispidula,Ericaceae,Ericales,United states
Sambucus racemosa l.,44.07788,-71.37144,Sambucus,racemosa,Adoxaceae,Dipsacales,United states
Quercus rubra l.,44.0857,-71.3458,Quercus,rubra,Fagaceae,Fagales,United states
Paronychia argyrocoma,44.129215,-71.332575,Paronychia,argyrocoma,Caryophyllaceae,Caryophyllales,United states
Rubus junceus,43.979174,-71.241115,Rubus,junceus,Rosaceae,Rosales,United states
Quercus rubra,44.0857222,-71.3458333,Quercus,rubra,Fagaceae,Fagales,United states
Ilex laevigata,44.0857222,-71.3458333,Ilex,laevigata,Aquifoliaceae,Aquifoliales,United states
Anaphalis margaritacea,44.02657,-71.3228,Anaphalis,margaritacea,Asteraceae,Asterales,United states
Populus tremuloides,44.0309,-71.26331,Populus,tremuloides,Salicaceae,Malpighiales,United states
Rubus allegheniensis,44.04426,-71.27705,Rubus,allegheniensis,Rosaceae,Rosales,United states
Alnus viridis,44.12179,-71.21355,Alnus,alnobetula,Betulaceae,Fagales,United states
Alnus incana,44.00242,-71.27781,Alnus,incana,Betulaceae,Fagales,United states
Thalictrum pubescens,43.99618,-71.34975,Thalictrum,pubescens,Ranunculaceae,Ranunculales,United states
Oenothera biennis,44.00242,-71.27781,Oenothera,biennis,Onagraceae,Myrtales,United states
Solidago bicolor,44.00242,-71.27781,Solidago,bicolor,Asteraceae,Asterales,United states
Medicago lupulina,44.00242,-71.27781,Medicago,lupulina,Fabaceae,Fabales,United states
Lactuca biennis,44.00242,-71.27781,Lactuca,biennis,Asteraceae,Asterales,United states
Symphyotrichum puniceum,44.00242,-71.27781,Symphyotrichum,puniceum,Asteraceae,Asterales,United states
Antennaria neglecta,44.00242,-71.27781,Antennaria,neglecta,Asteraceae,Asterales,United states
Vicia cracca,44.12179,-71.21355,Vicia,cracca,Fabaceae,Fabales,United states
Capnoides sempervirens,44.0309,-71.26331,Capnoides,sempervirens,Papaveraceae,Ranunculales,United states
Acer pensylvanicum,44.026496,-71.322738,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Cornus alternifolia,44.05491,-71.270308,Cornus,alternifolia,Cornaceae,Cornales,United states
Viburnum lantanoides,44.027382,-71.322641,Viburnum,lantanoides,Adoxaceae,Dipsacales,United states
Hamamelis virginiana,44.054714,-71.269995,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
