species,latitude,longitude,genus,epithet,family,order,country
Trientalis borealis,37.373702999999999,-80.520867999999993,Trientalis,borealis,Primulaceae,Ericales,United states
Gaultheria procumbens,37.377530999999998,-80.521124999999998,Gaultheria,procumbens,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377530999999998,-80.521124999999998,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Carya glabra,37.374375000000001,-80.526143000000005,Carya,glabra,Juglandaceae,Fagales,United states
Quercus alba,37.374302000000000,-80.526815999999997,Quercus,alba,Fagaceae,Fagales,United states
Robinia pseudoacacia,37.374268999999998,-80.524345999999994,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer pensylvanicum,37.374285000000000,-80.525700000000001,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Sambucus nigra ssp. canadensis,37.374560000000002,-80.522019999999998,Sambucus,nigra,Adoxaceae,Dipsacales,United states
Vaccinium corymbosum,37.377020000000002,-80.517520000000005,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Amelanchier arborea,37.376260000000002,-80.520150000000001,Amelanchier,arborea,Rosaceae,Rosales,United states
Hypericum perforatum,37.373998000000000,-80.523816999999994,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Vaccinium corymbosum,37.368330000000000,-80.521940000000001,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Vaccinium corymbosum,37.368459000000001,-80.521726000000001,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Acer rubrum,37.376247999999997,-80.519499999999994,Acer,rubrum,Sapindaceae,Sapindales,United states
Carya ovata,37.371712000000002,-80.526017999999993,Carya,ovata,Juglandaceae,Fagales,United states
Magnolia acuminata,37.375776000000002,-80.519543999999996,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Acer rubrum,37.371440000000000,-80.524100000000004,Acer,rubrum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.371313000000001,-80.525772000000003,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Cornus alternifolia,37.375639999999997,-80.522959999999998,Cornus,alternifolia,Cornaceae,Cornales,United states
Viola blanda,37.359490000000001,-80.518259999999998,Viola,blanda,Violaceae,Malpighiales,United states
Vaccinium angustifolium,37.373702999999999,-80.520867999999993,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Monotropa uniflora,37.374560000000002,-80.522750000000002,Monotropa,uniflora,Ericaceae,Ericales,United states
Monotropa uniflora,37.374560000000002,-80.522750000000002,Monotropa,uniflora,Ericaceae,Ericales,United states
Sassafras albidum,37.377422000000003,-80.522836999999996,Sassafras,albidum,Lauraceae,Laurales,United states
Quercus rubra,37.376249999999999,-80.519490000000005,Quercus,rubra,Fagaceae,Fagales,United states
Quercus alba,37.378208999999998,-80.522578999999993,Quercus,alba,Fagaceae,Fagales,United states
Carya ovata,37.371040999999998,-80.526157999999995,Carya,ovata,Juglandaceae,Fagales,United states
Hamamelis virginiana,37.376677000000001,-80.525392999999994,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Quercus rubra,37.374972999999997,-80.526974999999993,Quercus,rubra,Fagaceae,Fagales,United states
Sassafras albidum,37.376133000000003,-80.519031999999996,Sassafras,albidum,Lauraceae,Laurales,United states
Quercus velutina,37.375770000000003,-80.522750000000002,Quercus,bicolor,Fagaceae,Fagales,United states
Ilex verticillata,37.376480000000001,-80.524990000000003,Ilex,verticillata,Aquifoliaceae,Aquifoliales,United states
Hypopitys monotropa,37.375660000000003,-80.525260000000003,Hypopitys,monotropa,Ericaceae,Ericales,United states
Vaccinium corymbosum,37.377020000000002,-80.517520000000005,Vaccinium,corymbosum,Ericaceae,Ericales,United states
Vaccinium pallidum,37.368330000000000,-80.521940000000001,Vaccinium,pallidum,Ericaceae,Ericales,United states
Chimaphila maculata,37.368330000000000,-80.521940000000001,Chimaphila,maculata,Ericaceae,Ericales,United states
