species,latitude,longitude,genus,epithet,family,order,country
Impatiens pallida,37.360366,-80.516261,Impatiens,pallida,Balsaminaceae,Ericales,United states
Viburnum cassinoides,37.396348,-80.575896,Viburnum,nudum,Adoxaceae,Dipsacales,United states
Silene virginica,37.355415,-80.553469,Silene,virginica,Caryophyllaceae,Caryophyllales,United states
Hamamelis virginiana,37.43094,-80.5494,Hamamelis,virginiana,Hamamelidaceae,Saxifragales,United states
Viola blanda,37.43094,-80.5494,Viola,blanda,Violaceae,Malpighiales,United states
Viola cucullata,37.36763,-80.53176,Viola,palustris,Violaceae,Malpighiales,United states
Vaccinium pallidum,37.432684,-80.549389,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377531,-80.521125,Vaccinium,pallidum,Ericaceae,Ericales,United states
Gaultheria procumbens,37.391921,-80.506191,Gaultheria,procumbens,Ericaceae,Ericales,United states
Rhododendron calendulaceum,37.350934,-80.534319,Rhododendron,calendulaceum,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377812,-80.521959,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium angustifolium,37.377531,-80.521125,Vaccinium,angustifolium,Ericaceae,Ericales,United states
Vaccinium pallidum,37.377531,-80.521125,Vaccinium,pallidum,Ericaceae,Ericales,United states
Vaccinium stamineum,37.43094,-80.5494,Vaccinium,stamineum,Ericaceae,Ericales,United states
Nyssa sylvatica,37.37832,-80.522552,Nyssa,sylvatica,Cornaceae,Cornales,United states
Magnolia acuminata,37.377652,-80.517932,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Quercus rubra,37.378839,-80.522489,Quercus,rubra,Fagaceae,Fagales,United states
Carya glabra,37.378138,-80.517973,Carya,glabra,Juglandaceae,Fagales,United states
Nyssa sylvatica,37.374806,-80.52682,Nyssa,sylvatica,Cornaceae,Cornales,United states
Robinia pseudoacacia,37.375041,-80.526729,Robinia,pseudoacacia,Fabaceae,Fabales,United states
Acer pensylvanicum,37.374685,-80.5257,Acer,pensylvanicum,Sapindaceae,Sapindales,United states
Magnolia acuminata,37.374878,-80.526903,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Quercus rubra,37.376244,-80.519455,Quercus,rubra,Fagaceae,Fagales,United states
Quercus rubra,37.37144,-80.52408,Quercus,rubra,Fagaceae,Fagales,United states
Conopholis americana,37.35925,-80.51839,Conopholis,americana,Orobanchaceae,Lamiales,United states
Gaylussacia baccata,37.37414,-80.52107,Gaylussacia,baccata,Ericaceae,Ericales,United states
Gaultheria procumbens,37.37414,-80.52107,Gaultheria,procumbens,Ericaceae,Ericales,United states
Hypericum densiflorum,37.37456,-80.52202,Hypericum,densiflorum,Hypericaceae,Malpighiales,United states
Teucrium canadense,37.374969,-80.53663,Teucrium,canadense,Lamiaceae,Lamiales,United states
Jeffersonia diphylla,37.37564,-80.52296,Jeffersonia,diphylla,Berberidaceae,Ranunculales,United states
Prunus pensylvanica,37.35024,-80.53736,Prunus,pensylvanica,Rosaceae,Rosales,United states
Amphicarpaea bracteata,37.35024,-80.53736,Amphicarpaea,bracteata,Fabaceae,Fabales,United states
Physalis longifolia var. subglabrata,37.35024,-80.53736,Physalis,longifolia,Solanaceae,Solanales,United states
Rhus typhina,37.37921,-80.56751,Rhus,typhina,Anacardiaceae,Sapindales,United states
Quercus velutina,37.37921,-80.56751,Quercus,bicolor,Fagaceae,Fagales,United states
Persicaria virginiana,37.33612,-80.55873,Persicaria,virginiana,Polygonaceae,Caryophyllales,United states
Gaylussacia baccata,37.37482,-80.5207,Gaylussacia,baccata,Ericaceae,Ericales,United states
Vaccinium pallidum,37.37702,-80.51752,Vaccinium,pallidum,Ericaceae,Ericales,United states
Hieracium pilosella,37.35907,-80.53492,Hieracium,pilosella,Asteraceae,Asterales,United states
Hypericum perforatum,37.3712,-80.5409,Hypericum,perforatum,Hypericaceae,Malpighiales,United states
Barbarea vulgaris,37.3711,-80.541,Barbarea,vulgaris,Brassicaceae,Brassicales,United states
Leucanthemum vulgare,37.3637,-80.5359,Leucanthemum,vulgare,Asteraceae,Asterales,United states
Silene virginica,37.3498,-80.536,Silene,virginica,Caryophyllaceae,Caryophyllales,United states
Fallopia convolvulus,37.3498,-80.5344,Fallopia,convolvulus,Polygonaceae,Caryophyllales,United states
Cichorium intybus,37.354,-80.5547,Cichorium,intybus,Asteraceae,Asterales,United states
Collinsonia canadensis,37.3639,-80.5813,Collinsonia,canadensis,Lamiaceae,Lamiales,United states
Conopholis americana,37.37498,-80.5172,Conopholis,americana,Orobanchaceae,Lamiales,United states
Aphyllon uniflorum,37.37498,-80.5172,Orobanche,uniflora,Orobanchaceae,Lamiales,United states
Magnolia acuminata,37.41425,-80.51946,Magnolia,acuminata,Magnoliaceae,Magnoliales,United states
Potentilla simplex,37.41425,-80.51946,Potentilla,simplex,Rosaceae,Rosales,United states
Rosa multiflora,37.43795,-80.51514,Rosa,multiflora,Rosaceae,Rosales,United states
Fragaria virginiana,37.37498,-80.5172,Fragaria,virginiana,Rosaceae,Rosales,United states
Viola cucullata,37.35949,-80.51826,Viola,palustris,Violaceae,Malpighiales,United states
