Species,Pattern
Lindera_erythrocarpa,D
Lindera_floribunda,D
Lindera_fragrans,D
Lindera_fruticosa,D
Lindera_glauca,D
Lindera_megaphylla,D
Lindera_obtusiloba,D
Lindera_pulcherrima_var._hemsleyana,D
Lindera_reflexa,D
Lindera_rubronervia,D
Lindera_setchuenensis,D
Lindera_supracostata,D
Liquidambar_acalycina,D
Liquidambar_formosana,D
Liquidambar_styraciflua,D
Liriodendron_chinense,D
Liriodendron_tulipifera,D
Lyonia_ferruginea,D
Lyonia_fruticosa,D
Lyonia_ligustrina,D
Lyonia_lucida,D
Lyonia_mariana,D
Lyonia_ovalifolia,D
Lyonia_ovalifolia_var._hebecarpa,D
Magnolia_acuminata,D
Magnolia_amoena,D
Magnolia_biondii,D
Magnolia_cylindrica,D
Magnolia_denudata,D
Magnolia_figo,D
Magnolia_fordiana_var._fordiana,D
Magnolia_fraseri,D
Magnolia_grandiflora,D
Magnolia_liliiflora,D
Magnolia_macrophylla,D
Magnolia_martini,D
Magnolia_maudiae,D
Magnolia_officinalis,D
Magnolia_officinalis_subsp._biloba,D
Magnolia_pyramidata,D
Magnolia_sprengeri,D
Magnolia_tripetala,D
Magnolia_virginiana,D
Meehania_fargesii,D
Meehania_henryi,D
Meehania_urticifolia,D
Menispermum_dauricum,D
Mitchella_repens,D
Nyssa_biflora,D
Nyssa_sinensis,D
Nyssa_sylvatica,D
Osmanthus_armatus,D
Osmanthus_cooperi,D
Osmanthus_fragrans,D
Osmanthus_matsumuranus,D
Ostrya_rehderiana,D
Ostrya_virginiana,D
Pachysandra_axillaris,D
Pachysandra_sp.,D
Pachysandra_terminalis,D
Panax_ginseng,D
Panax_japonicus,D
Panax_quinquefolius,D
Panax_trifolius,D
Parthenocissus_heterophylla,D
Parthenocissus_himalayana,D
Parthenocissus_laetevirens,D
Parthenocissus_quinquefolia,D
Parthenocissus_suberosa,D
Parthenocissus_tricuspidata,D
Penthorum_chinense,D
Phryma_leptostachya,D
Pieris_formosa,D
Pieris_japonica,D
Pinus_armandii,D
Pinus_clausa,D
Pinus_densiflora,D
Pinus_echinata,D
Pinus_elliottii,D
Pinus_henryi,D
Pinus_koraiensis,D
Pinus_massoniana,D
Pinus_palustris,D
Pinus_pumila,D
Pinus_resinosa,D
Pinus_rigida,D
Pinus_strobus,D
Pinus_sylvestris,D
Pinus_tabuliformis,D
Pinus_taeda,D
Pinus_taiwanensis,D
Pinus_virginiana,D
Populus_adenopoda,D
Populus_balsamifera,D
Populus_candicans,D
Populus_cathayana,D
Populus_davidiana,D
Populus_deltoides,D
Populus_grandidentata,D
Populus_koreana,D
Populus_lasiocarpa,D
Populus_maximowiczii,D
Populus_nigra,D
Populus_pseudomaximowiczii,D
Populus_pseudosimonii,D
Populus_simonii,D
Populus_sp.,D
Populus_tomentosa,D
Populus_tremuloides,D
Populus_ussuriensis,D
Populus_x_canadensis,D
Populus_x_jackii,D
Pyrularia_pubera,D
Robinia_pseudoacacia,D
Sassafras_albidum,D
Sassafras_tzumu,D
Saururus_cernuus,D
Saururus_chinensis,D
Schisandra_chinensis,D
Schisandra_elongata,D
Schisandra_henryi,D
Schisandra_propinqua,D
Schisandra_repanda,D
Schisandra_rubriflora,D
Schisandra_sphenanthera,D
Stewartia_malacodendron,D
Stewartia_rostrata,D
Stewartia_sinensis,D
Stewartia_sinensis_var._brevicalyx,D
Symplocarpus_foetidus,D
Symplocarpus_nipponicus,D
Symplocarpus_renifolius,D
Tipularia_discolor,D
Torreya_grandis,D
Trachelospermum_asiaticum,D
Trachelospermum_axillare,D
Trachelospermum_bodinieri,D
Trachelospermum_jasminoides,D
Triosteum_himalayanum,D
Triosteum_perfoliatum,D
Tsuga_canadensis,D
Tsuga_caroliniana,D
Tsuga_chinensis,D
Wisteria_sinensis,D
Smilax_herbacea,D
Smilax_moranensis,D
Smilax_nipponica,D
Smilax_sieboldii,D
