Changbai,Dongling,Gutian,Shennong,Tianmu
Changbai,0,25.0271514775784,44.7627524572845,41.4841487334086,37.8737422763635
Dongling,25.0271514775784,0,48.8737504398576,45.3225027871472,41.1219795915466
Gutian,44.7627524572845,48.8737504398576,0,19.8577777160905,14.4808382263334
Shennong,41.4841487334086,45.3225027871472,19.8577777160905,0,18.8935105121309
Tianmu,37.8737422763635,41.1219795915466,14.4808382263334,18.8935105121309,0
