Changbai,Dongling,Gutian,Shennong,Tianmu
Changbai,0,0.563173202771732,0.713233688667972,0.706502624234974,0.678144247021145
Dongling,0.563173202771732,0,0.715697781283678,0.694470396427246,0.676306754025553
Gutian,0.713233688667972,0.715697781283678,0,0.498375874724298,0.377282447646895
Shennong,0.706502624234974,0.694470396427246,0.498375874724298,0,0.479911472515885
Tianmu,0.678144247021145,0.676306754025553,0.377282447646895,0.479911472515885,0
