Changbai,Dongling,Gutian,Shennong,Tianmu
Changbai,0,0.981021208587347,1.3814330105274,1.37823032313429,1.27540068678012
Dongling,0.981021208587347,0,1.44815660503898,1.4218311810263,1.31406954020105
Gutian,1.3814330105274,1.44815660503898,0,1.0334235617337,1.03637401109757
Shennong,1.37823032313429,1.4218311810263,1.0334235617337,0,1.01906519598251
Tianmu,1.27540068678012,1.31406954020105,1.03637401109757,1.01906519598251,0
