Changbai,Dongling,Gutian,Shennong,Tianmu,Coweeta,Havard,Mountain_Lake,Ordway,Talladega,White_Mountain
Changbai,0,0.693663950547907,1.04148068179459,1.08329364623192,1.0089597987975,1.13706589198468,1.11469037857409,1.1301682125452,1.11777388492117,1.13706589198468,1.0642859853516
Dongling,0.693663950547907,0,1.02624282252254,1.01508305759444,1.03721330981004,1.10465619143722,1.12666627859596,1.10872268608989,1.06938428217822,1.10465619143722,1.08248348982434
Gutian,1.04148068179459,1.02624282252254,0,0.815017493496008,0.621470330070718,1.18705451743402,1.21449152050742,1.18574108818011,1.11062222317615,1.21749181275284,1.12034035656402
Shennong,1.08329364623192,1.01508305759444,0.815017493496008,0,0.855167233685327,1.22810913705584,1.2365916061468,1.18279039157618,1.12595642534465,1.25317258883249,1.11616110033024
Tianmu,1.0089597987975,1.03721330981004,0.621470330070718,0.855167233685327,0,1.21493691868496,1.22625471209993,1.19165927240461,1.10205814564716,1.2294870614237,1.12279704377487
Coweeta,1.13706589198468,1.10465619143722,1.18705451743402,1.22810913705584,1.21493691868496,0,0.472499120440952,0.441223404255319,0.872989229262834,0.626107226107226,0.745964057264697
Havard,1.11469037857409,1.12666627859596,1.21449152050742,1.2365916061468,1.22625471209993,0.472499120440952,0,0.413058050677034,0.914300231468413,0.750439779523865,0.522792329711595
Mountain_Lake,1.1301682125452,1.10872268608989,1.18574108818011,1.18279039157618,1.19165927240461,0.441223404255319,0.413058050677034,0,0.901242976332368,0.651329787234043,0.607458669742407
Ordway,1.11777388492117,1.06938428217822,1.11062222317615,1.12595642534465,1.10205814564716,0.872989229262834,0.914300231468413,0.901242976332368,0,0.718282277241572,1.01998052745206
Talladega,1.13706589198468,1.10465619143722,1.21749181275284,1.25317258883249,1.2294870614237,0.626107226107226,0.750439779523865,0.651329787234043,0.718282277241572,0,0.890344197380445
White_Mountain,1.0642859853516,1.08248348982434,1.12034035656402,1.11616110033024,1.12279704377487,0.745964057264697,0.522792329711595,0.607458669742407,1.01998052745206,0.890344197380445,0
