Changbai,Dongling,Gutian,Shennong,Tianmu
Changbai,0,256.325266376839,257.318557772318,257.388717766676,255.00514541901
Dongling,256.325266376839,0,259.030686292802,258.887308642373,256.686829125597
Gutian,257.318557772318,259.030686292802,0,258.599632157385,256.646436346694
Shennong,257.388717766676,258.887308642373,258.599632157385,0,256.556031082162
Tianmu,255.00514541901,256.686829125597,256.646436346694,256.556031082162,0
